season,designer,look_number,image_url,caption,source_url
berlin-spring-2027,Gmbh,1,https://assets.vogue.com/photos/6a4bc958fcc73990e31a3f41/master/w_2560%2Cc_limit/00001-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 1,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,2,https://assets.vogue.com/photos/6a4bc958992e340f902b55ff/master/w_2560%2Cc_limit/00002-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 2,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,3,https://assets.vogue.com/photos/6a4bc958ccc1077e3eb97f4d/master/w_2560%2Cc_limit/00003-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 3,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,4,https://assets.vogue.com/photos/6a4bc95c209c3c32b16d6b37/master/w_2560%2Cc_limit/00004-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 4,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,5,https://assets.vogue.com/photos/6a4bc95bf3355b9bd7de1168/master/w_2560%2Cc_limit/00005-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 5,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,6,https://assets.vogue.com/photos/6a4bc95c9cb8ed37f4295b1b/master/w_2560%2Cc_limit/00006-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 6,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,7,https://assets.vogue.com/photos/6a4bc7c3ebd29f3cef8c8fb9/master/w_2560%2Cc_limit/00001-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,8,https://assets.vogue.com/photos/6a4bc7c3d976885c03a804b7/master/w_2560%2Cc_limit/00002-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,9,https://assets.vogue.com/photos/6a4bc7c39cb8ed37f4295a6e/master/w_2560%2Cc_limit/00003-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,10,https://assets.vogue.com/photos/6a4bc7c6e7363dce4a47e9c0/master/w_2560%2Cc_limit/00004-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,11,https://assets.vogue.com/photos/6a4bc7c66973e65312994ff8/master/w_2560%2Cc_limit/00005-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,12,https://assets.vogue.com/photos/6a4bc7c6209c3c32b16d6abf/master/w_2560%2Cc_limit/00006-gmbh-spring-2027-ready-to-wear-berlin-details-credit-berlin-fashion-week.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,13,https://assets.vogue.com/photos/6a4bce8dccc1077e3eb97fc4/master/w_1280%2Cc_limit/00001-gmbh-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Berlin Spring 2027,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,14,https://assets.vogue.com/photos/6981c677d8405ca6a0bf499b/master/w_1280%2Cc_limit/00001-gmbh-fall-2026-ready-to-wear-berlin-credit-finnegan-koichi-godenschweger-bfw.jpg,Berlin Fall 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,15,https://assets.vogue.com/photos/6866504f3b726ffddb894c37/master/w_1280%2Cc_limit/00001-gmbh-spring-2026-ready-to-wear-berlin-credit-finnegan-koichi-godenschweger-bfw.jpg,Berlin Spring 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,16,https://assets.vogue.com/photos/67a09169bc7223844fd325d2/master/w_1280%2Cc_limit/00001-gmbh-fall-2025-menswear-berlin-credit-finnegan-koichi-godenschweger-berlin-fashion-week.jpg,Berlin Fall 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,17,https://assets.vogue.com/photos/66835421c7319fe65c85dcbd/master/w_1280%2Cc_limit/00001-gmbh-berlin-spring-2025-credit-godenschwege.jpg,Berlin Spring 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
berlin-spring-2027,Gmbh,18,https://assets.vogue.com/photos/65ad7a8502296936e22fa55f/master/w_1280%2Cc_limit/00001-gmbh-fall-2024-menswear-credit-gorunway.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/berlin-spring-2027/gmbh
