season,designer,look_number,image_url,caption,source_url
berlin-spring-2027,Richert Beil,1,https://assets.vogue.com/photos/6a4b61fa2320453f7b2a755a/master/w_2560%2Cc_limit/00001-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,2,https://assets.vogue.com/photos/6a4b61fa49130aec6f9d627f/master/w_2560%2Cc_limit/00002-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,3,https://assets.vogue.com/photos/6a4b61fa49130aec6f9d6281/master/w_2560%2Cc_limit/00003-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,4,https://assets.vogue.com/photos/6a4b6200d42f3479923c6f89/master/w_2560%2Cc_limit/00004-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,5,https://assets.vogue.com/photos/6a4b620124f639d87b9d46dd/master/w_2560%2Cc_limit/00005-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,6,https://assets.vogue.com/photos/6a4b62012320453f7b2a7560/master/w_2560%2Cc_limit/00006-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,7,https://assets.vogue.com/photos/6a4b61fa2320453f7b2a755a/master/w_1280%2Cc_limit/00001-richert-beil-spring-2027-ready-to-wear-berlin-credit-brand.jpg,Berlin Spring 2027,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,8,https://assets.vogue.com/photos/69821d4f36cfb8ce829c284b/master/w_1280%2Cc_limit/00001-richert-beil-fall-2026-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,Berlin Fall 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,9,https://assets.vogue.com/photos/686417601b50eba58a4cd97a/master/w_1280%2Cc_limit/00001-richert-beil-spring-2026-ready-to-wear-berlin-credit-james-cochrane-brand.jpg,Berlin Spring 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,10,https://assets.vogue.com/photos/679f3d681b5c64f5b5c6af15/master/w_1280%2Cc_limit/00001-Richert-Beil-Fall-2025-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,Berlin Fall 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,11,https://assets.vogue.com/photos/66854ea001e672bf219c66bd/master/w_1280%2Cc_limit/00001-richert-beil-spring-2025-ready-to-wear-berlin-credit-brand.jpg,Berlin Spring 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
berlin-spring-2027,Richert Beil,12,https://assets.vogue.com/photos/65c366a0815f201281ecbb4b/master/w_1280%2Cc_limit/00001-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,Berlin Fall 2024,https://www.vogue.com/fashion-shows/berlin-spring-2027/richert-beil
