season,designer,look_number,image_url,caption,source_url
berlin-spring-2027,Sf10G,1,https://assets.vogue.com/photos/6a4b6e16d6d2481c35bf0599/master/w_2560%2Cc_limit/00001-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 1,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,2,https://assets.vogue.com/photos/6a4b6e151eba9bbc71cfb730/master/w_2560%2Cc_limit/00002-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 2,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,3,https://assets.vogue.com/photos/6a4b6e156973e65312994ab0/master/w_2560%2Cc_limit/00003-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 3,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,4,https://assets.vogue.com/photos/6a4b6e18ccc1077e3eb97a00/master/w_2560%2Cc_limit/00004-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 4,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,5,https://assets.vogue.com/photos/6a4b6e17439b2532fbba58d3/master/w_2560%2Cc_limit/00005-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 5,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,6,https://assets.vogue.com/photos/6a4b6e18e81808190239fd72/master/w_2560%2Cc_limit/00006-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Look 6,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,7,https://assets.vogue.com/photos/6a4b6df17de7ae66c33f7920/master/w_1280%2Cc_limit/00001-sf10g-spring-2027-ready-to-wear-berlin-credit-berlin-fashion-week.jpg,Berlin Spring 2027,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,8,https://assets.vogue.com/photos/697e53bb745de64fe74591ff/master/w_1280%2Cc_limit/00001-sf10g-fall-2026-ready-to-wear-berlin-credit-brand.jpg,Berlin Fall 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,9,https://assets.vogue.com/photos/68663e68b9a22f15bac4f7a5/master/w_1280%2Cc_limit/00001-sf10g-spring-2026-ready-to-wear-berlin-credit-james-cochrane-brand.jpg,Berlin Spring 2026,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,10,https://assets.vogue.com/photos/67a248ec912a8ff085dc1fb6/master/w_1280%2Cc_limit/00001-sf10g-fall-2025-ready-to-wear-berlin-credit-andreas-hofrichter-brand.jpg,Berlin Fall 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,11,https://assets.vogue.com/photos/668590447b13a05b7d711f28/master/w_1280%2Cc_limit/00001-sf10g-spring-2025-ready-to-wear-berlin-credit-berlinfw.jpg,Berlin Spring 2025,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
berlin-spring-2027,Sf10G,12,https://assets.vogue.com/photos/65c6087ca86b0939207200ae/master/w_1280%2Cc_limit/00001-SF1OG-fall-2024-ready-to-wear-berlin-credit-james-cochrane-bfw.jpg,Berlin Fall 2024,https://www.vogue.com/fashion-shows/berlin-spring-2027/sf10g
