season,designer,look_number,image_url,caption,source_url
copenhagen-spring-2027,Anne Sofie Madsen,1,https://assets.vogue.com/photos/6a70bdc45d317007d1b7a5c6/master/w_2560%2Cc_limit/00001-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,2,https://assets.vogue.com/photos/6a70bdc415147eeff354b857/master/w_2560%2Cc_limit/00002-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,3,https://assets.vogue.com/photos/6a70bdc432dc4293f6a4a5b7/master/w_2560%2Cc_limit/00003-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,4,https://assets.vogue.com/photos/6a70bdc602f1204950eee6d9/master/w_2560%2Cc_limit/00004-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,5,https://assets.vogue.com/photos/6a70bdc650f490a3e3bab0a9/master/w_2560%2Cc_limit/00005-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,6,https://assets.vogue.com/photos/6a70bdc6bf0b43bb4d9bfaf0/master/w_2560%2Cc_limit/00006-anne-sofie-madsen-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,7,https://assets.vogue.com/photos/6a70cb2c3b68a9fe7aea4892/master/w_2560%2Cc_limit/00001-anne-sofie-madsen-spring-2027-ready-to-wear-details-copenhagen-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,8,https://assets.vogue.com/photos/6a70cb2c692031e13361f4c5/master/w_2560%2Cc_limit/00002-anne-sofie-madsen-spring-2027-ready-to-wear-details-copenhagen-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,9,https://assets.vogue.com/photos/6a70cb2cc6b152c48cea7f62/master/w_2560%2Cc_limit/00003-anne-sofie-madsen-spring-2027-ready-to-wear-details-copenhagen-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
copenhagen-spring-2027,Anne Sofie Madsen,10,https://assets.vogue.com/photos/6a70cb2e50f490a3e3bab3d5/master/w_2560%2Cc_limit/00004-anne-sofie-madsen-spring-2027-ready-to-wear-details-copenhagen-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/anne-sofie-madsen
