season,designer,look_number,image_url,caption,source_url
copenhagen-spring-2027,By Malene Birger,1,https://assets.vogue.com/photos/6a7249f3bc8e1665608ddb3e/master/w_2560%2Cc_limit/00001-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,2,https://assets.vogue.com/photos/6a7249f4fde8755f9e930cd2/master/w_2560%2Cc_limit/00002-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,3,https://assets.vogue.com/photos/6a7249f4af36e8c1556c1c09/master/w_2560%2Cc_limit/00003-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,4,https://assets.vogue.com/photos/6a7249f6fe38deb93fd7b4e8/master/w_2560%2Cc_limit/00004-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,5,https://assets.vogue.com/photos/6a7249f684a191806e49c37e/master/w_2560%2Cc_limit/00005-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,6,https://assets.vogue.com/photos/6a7249f60ad082d6e7e3f207/master/w_2560%2Cc_limit/00006-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,7,https://assets.vogue.com/photos/6a724a5885ee4a606884cf1a/master/w_1280%2Cc_limit/00001-by-malene-birger-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,8,https://assets.vogue.com/photos/6a22d135896f56d1a725f981/master/w_1280%2Cc_limit/00001-by-malene-birger-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,9,https://assets.vogue.com/photos/6978a51a5cbcd0a75f05162f/master/w_1280%2Cc_limit/00001-by-malene-birger-fall-2026-ready-to-wear-credit-brand.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,10,https://assets.vogue.com/photos/691b47c848b6a61521ca8794/master/w_1280%2Cc_limit/00001-by-malene-birger-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,11,https://assets.vogue.com/photos/68a897a66702eba1976bff25/master/w_1280%2Cc_limit/00001-by-malene-birger-spring-2026-ready-to-wear-copenhagen-credit-brand.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
copenhagen-spring-2027,By Malene Birger,12,https://assets.vogue.com/photos/684004838e0a4f8729f302f9/master/w_1280%2Cc_limit/00001-by-malene-birger-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/by-malene-birger
