season,designer,look_number,image_url,caption,source_url
copenhagen-spring-2027,Mark Kenly Domino Tan,1,https://assets.vogue.com/photos/6a71fddf18ed825ef1e3d362/master/w_2560%2Cc_limit/00001-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,2,https://assets.vogue.com/photos/6a71fddfa0897195f70a71e1/master/w_2560%2Cc_limit/00002-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,3,https://assets.vogue.com/photos/6a71fddfdcbdd903a42de61c/master/w_2560%2Cc_limit/00003-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,4,https://assets.vogue.com/photos/6a71fde1d26152d87b609c2f/master/w_2560%2Cc_limit/00004-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,5,https://assets.vogue.com/photos/6a71fde1af36e8c1556c173c/master/w_2560%2Cc_limit/00005-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,6,https://assets.vogue.com/photos/6a71fde1e236c67a66a92da1/master/w_2560%2Cc_limit/00006-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,7,https://assets.vogue.com/photos/6a71fe4998f652db94fb77b5/master/w_1280%2Cc_limit/00001-mkdt-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,8,https://assets.vogue.com/photos/697a2c676738230cc794d437/master/w_1280%2Cc_limit/00001-mkdt-studio-fall-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,9,https://assets.vogue.com/photos/68937235b6faf31033ccc5b2/master/w_1280%2Cc_limit/00001-mkdt-studio-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,10,https://assets.vogue.com/photos/679a4ac9d0c2929a5cefac10/master/w_1280%2Cc_limit/00001-mkdt-studio-fall-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,11,https://assets.vogue.com/photos/66b38f9085a13fad4823c919/master/w_1280%2Cc_limit/00001-mark-kenly-domino-tan-spring-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2025,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
copenhagen-spring-2027,Mark Kenly Domino Tan,12,https://assets.vogue.com/photos/65bbb355eac0a9411e99b884/master/w_1280%2Cc_limit/00001-mark-kenly-domino-tan-fall-2024-ready-to-wear-copenhagen-credit%2520gorunway.jpg,Copenhagen Fall 2024,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/mark-kenly-domino-tan
