season,designer,look_number,image_url,caption,source_url
copenhagen-spring-2027,Skall Studio,1,https://assets.vogue.com/photos/6a71ecbf98f652db94fb76c1/master/w_2560%2Cc_limit/00001-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,2,https://assets.vogue.com/photos/6a71ecc02d2baf4df8073cbe/master/w_2560%2Cc_limit/00002-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,3,https://assets.vogue.com/photos/6a71ecc0dcbdd903a42de486/master/w_2560%2Cc_limit/00003-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,4,https://assets.vogue.com/photos/6a71ecc2e4f268d103058cf1/master/w_2560%2Cc_limit/00004-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,5,https://assets.vogue.com/photos/6a71ecc3a7cf989baa44c864/master/w_2560%2Cc_limit/00005-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,6,https://assets.vogue.com/photos/6a71ecc3af36e8c1556c165e/master/w_2560%2Cc_limit/00006-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,7,https://assets.vogue.com/photos/6a71ed1dfde8755f9e9300db/master/w_1280%2Cc_limit/00001-skall-studio-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,8,https://assets.vogue.com/photos/6a317251fafb4ba40c5789cc/master/w_1280%2Cc_limit/00001-skall-studio-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,9,https://assets.vogue.com/photos/697b8cfd4b5f900576808926/master/w_1280%2Cc_limit/PLA00013.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,10,https://assets.vogue.com/photos/68921c03b015b237c0c2c716/master/w_1280%2Cc_limit/00001-skall-studio-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,11,https://assets.vogue.com/photos/679a2fb14280d110566bd910/master/w_1280%2Cc_limit/00001-skall-studio-fall-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
copenhagen-spring-2027,Skall Studio,12,https://assets.vogue.com/photos/66b34b6e2807f8881f02a4fe/master/w_1280%2Cc_limit/_UMB0012.jpg,Copenhagen Spring 2025,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/skall-studio
