season,designer,look_number,image_url,caption,source_url
copenhagen-spring-2027,The Royal Danish Academy,1,https://assets.vogue.com/photos/6a721a8ae236c67a66a92e96/master/w_2560%2Cc_limit/00001-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 1,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,2,https://assets.vogue.com/photos/6a721a8a98f652db94fb7b6a/master/w_2560%2Cc_limit/00002-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 2,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,3,https://assets.vogue.com/photos/6a721a8a98f652db94fb7b68/master/w_2560%2Cc_limit/00003-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 3,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,4,https://assets.vogue.com/photos/6a721a8cbc8e1665608dd61c/master/w_2560%2Cc_limit/00004-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 4,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,5,https://assets.vogue.com/photos/6a721a8cfde8755f9e930721/master/w_2560%2Cc_limit/00005-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 5,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,6,https://assets.vogue.com/photos/6a721a8c98f652db94fb7b75/master/w_2560%2Cc_limit/00006-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Look 6,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,7,https://assets.vogue.com/photos/6a7221b8e4f268d103059653/master/w_1280%2Cc_limit/00001-the-royal-danish-academy-spring-2027-ready-to-wear-copenhagen-credit-gorunway-designer-emma-stenb%25C3%25A6k-aagaard.jpg,Copenhagen Spring 2027,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,8,https://assets.vogue.com/photos/689463735ffe0057e5d2885c/master/w_1280%2Cc_limit/_UMB0017.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,9,https://assets.vogue.com/photos/66b2341e6f106a0be15e4bc6/master/w_1280%2Cc_limit/00001-the-royal-danish-academy-spring-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2025,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,10,https://assets.vogue.com/photos/64d4ded37410abb2c147e648/master/w_1280%2Cc_limit/00001-the-royal-danish-academy-spring-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2024,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,11,https://assets.vogue.com/photos/62f4d69c478ffbabaf30b535/master/w_1280%2Cc_limit/00001-the-royal-danish-academy-copenhagen-spring-2023-credit-gorunway.jpg,Copenhagen Spring 2023,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
copenhagen-spring-2027,The Royal Danish Academy,12,https://assets.vogue.com/photos/611298c898362c63810dd263/master/w_1280%2Cc_limit/00001-The-Royal-Danish-Academy-Copenhagen-Spring-22.jpg,Copenhagen Spring 2022,https://www.vogue.com/fashion-shows/copenhagen-spring-2027/the-royal-danish-academy
