season,designer,look_number,image_url,caption,source_url
fall-2026-couture,Antonio Grimaldi,1,https://assets.vogue.com/photos/6a4e31d0536e4b3d1ab047e8/master/w_2560%2Cc_limit/00001-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,2,https://assets.vogue.com/photos/6a4e31d0b92cb882314dd10a/master/w_2560%2Cc_limit/00002-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,3,https://assets.vogue.com/photos/6a4e31d1d95e16923c1972ec/master/w_2560%2Cc_limit/00003-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,4,https://assets.vogue.com/photos/6a4e31d5d9ebb4593e1e4ea4/master/w_2560%2Cc_limit/00004-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,5,https://assets.vogue.com/photos/6a4e320aef70436404a2a44a/master/w_2560%2Cc_limit/00005-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,6,https://assets.vogue.com/photos/6a4e31d5b37cb4aaa5bebb28/master/w_2560%2Cc_limit/00006-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,7,https://assets.vogue.com/photos/6a4e31d89d765981fb7c2ad2/master/w_2560%2Cc_limit/00007-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,8,https://assets.vogue.com/photos/6a4e31d8b92cb882314dd117/master/w_2560%2Cc_limit/00008-antonio-grimaldi-fall-2026-couture-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,9,https://assets.vogue.com/photos/6a4e351eb92cb882314dd139/master/w_2560%2Cc_limit/00001a-antonio-grimaldi-fall-2026-couture-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
fall-2026-couture,Antonio Grimaldi,10,https://assets.vogue.com/photos/6a4e351e536e4b3d1ab047f5/master/w_2560%2Cc_limit/00001b-antonio-grimaldi-fall-2026-couture-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/antonio-grimaldi
