season,designer,look_number,image_url,caption,source_url
fall-2026-couture,Ardazaei,1,https://assets.vogue.com/photos/6a4c108fd42f3479923c76cb/master/w_2560%2Cc_limit/00001-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,2,https://assets.vogue.com/photos/6a4c108f1032c87c253f82bf/master/w_2560%2Cc_limit/00002-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,3,https://assets.vogue.com/photos/6a4c108f57b9cfa490fb0820/master/w_2560%2Cc_limit/00003-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,4,https://assets.vogue.com/photos/6a4c1093d976885c03a80a56/master/w_2560%2Cc_limit/00004-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,5,https://assets.vogue.com/photos/6a4c10936973e65312995723/master/w_2560%2Cc_limit/00005-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,6,https://assets.vogue.com/photos/6a4c1093d6e5b18ee233c3ef/master/w_2560%2Cc_limit/00006-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,7,https://assets.vogue.com/photos/6a4c1096d42f3479923c76d8/master/w_2560%2Cc_limit/00007-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,8,https://assets.vogue.com/photos/6a4c1097d6d2481c35bf10b2/master/w_2560%2Cc_limit/00008-ardazaei-fall-2026-couture-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,9,https://assets.vogue.com/photos/6a4c111cd976885c03a80a60/master/w_1280%2Cc_limit/00001-ardazaei-fall-2026-couture-credit-gorunway.jpg,Fall 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,10,https://assets.vogue.com/photos/69a8a902f9957d008f94e2cb/master/w_1280%2Cc_limit/00001-ardazaei-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,11,https://assets.vogue.com/photos/68e4e5d7f40101ee495578d8/master/w_1280%2Cc_limit/00001-ardazaei-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,12,https://assets.vogue.com/photos/686facdbd5d93844313d7e03/master/w_1280%2Cc_limit/00001-ardazaei-fall-2025-couture-credit-gorunway.jpg,Fall 2025 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
fall-2026-couture,Ardazaei,13,https://assets.vogue.com/photos/66826db3b3015e36805f5886/master/w_1280%2Cc_limit/00001-ardazaei-fall-2024-couture-credit-luca-tombolini-brand.jpg,Fall 2024 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/ardazaei
