season,designer,look_number,image_url,caption,source_url
fall-2026-couture,Schiaparelli,1,https://assets.vogue.com/photos/6a4ba10b1eba9bbc71cfb830/master/w_2560%2Cc_limit/00001-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,2,https://assets.vogue.com/photos/6a4ba10ad6d2481c35bf0665/master/w_2560%2Cc_limit/00002-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,3,https://assets.vogue.com/photos/6a4ba10af22c869dab93bd92/master/w_2560%2Cc_limit/00003-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,4,https://assets.vogue.com/photos/6a4ba10dc3eb0d3fd359a478/master/w_2560%2Cc_limit/00004-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,5,https://assets.vogue.com/photos/6a4ba10d7f7e9c07a859d98e/master/w_2560%2Cc_limit/00005-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,6,https://assets.vogue.com/photos/6a4ba10d9cb8ed37f42957b7/master/w_2560%2Cc_limit/00006-schiaparelli-fall-2026-couture-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,7,https://assets.vogue.com/photos/6a4bb78bd6d2481c35bf078e/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_01.jpg,Backstage Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,8,https://assets.vogue.com/photos/6a4bb790d6e5b18ee233b92b/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_02.jpg,Backstage Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,9,https://assets.vogue.com/photos/6a4bb793f22c869dab93c04f/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_03.jpg,Backstage Look 3,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,10,https://assets.vogue.com/photos/6a4bb7b99cb8ed37f4295944/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_04.jpg,Backstage Look 4,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,11,https://assets.vogue.com/photos/6a4bb7bf209c3c32b16d672c/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_05.jpg,Backstage Look 5,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,12,https://assets.vogue.com/photos/6a4bb7c58def9353b9ac9e58/master/w_2560%2Cc_limit/Schiaparelli_pariscouturess27_backstageacielle_06.jpg,Backstage Look 6,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,13,https://assets.vogue.com/photos/6a4ba0e26973e65312994b2b/master/w_1280%2Cc_limit/00001-schiaparelli-fall-2026-couture-credit-brand.jpg,Fall 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,14,https://assets.vogue.com/photos/69aee6b5d41735f5540c7bd2/master/w_1280%2Cc_limit/00001-schiaparelli-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,15,https://assets.vogue.com/photos/697c7da283f57b22d25a158d/master/w_1280%2Cc_limit/00001-schiaparelli-spring-2026-couture-credit-brand.jpg,Spring 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,16,https://assets.vogue.com/photos/68ee7582a4d3339bd0d6c86f/master/w_1280%2Cc_limit/00001-schiaparelli-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,17,https://assets.vogue.com/photos/686bd1980c57b3017e25d7da/master/w_1280%2Cc_limit/00001-schiaparelli-fall-2025-couture-credit-brand.jpg,Fall 2025 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
fall-2026-couture,Schiaparelli,18,https://assets.vogue.com/photos/67d02f1ce8e434c2daa52dba/master/w_1280%2Cc_limit/00001-schiaparelli-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/schiaparelli
