season,designer,look_number,image_url,caption,source_url
fall-2026-couture,Standing Ground,1,https://assets.vogue.com/photos/6a4bfa7c439b2532fbba633b/master/w_2560%2Cc_limit/00001-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,2,https://assets.vogue.com/photos/6a4bfa7cd976885c03a8088f/master/w_2560%2Cc_limit/00002-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,3,https://assets.vogue.com/photos/6a4bfa7b38860e0d7de18c04/master/w_2560%2Cc_limit/00003-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,4,https://assets.vogue.com/photos/6a4bfa7e992e340f902b5d0e/master/w_2560%2Cc_limit/00004-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,5,https://assets.vogue.com/photos/6a4bfa8024f639d87b9d4f0d/master/w_2560%2Cc_limit/00005-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,6,https://assets.vogue.com/photos/6a4bfa807f7e9c07a859e0b3/master/w_2560%2Cc_limit/00006-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,7,https://assets.vogue.com/photos/6a4bfa8149130aec6f9d6a7f/master/w_2560%2Cc_limit/00007-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,8,https://assets.vogue.com/photos/6a4bfa8357b9cfa490fb0636/master/w_2560%2Cc_limit/00008-standing-ground-fall-2026-couture-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,9,https://assets.vogue.com/photos/6a4bfae9ccc1077e3eb983e6/master/w_1280%2Cc_limit/00001-standing-ground-fall-2026-couture-credit-gorunway.jpg,Fall 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
fall-2026-couture,Standing Ground,10,https://assets.vogue.com/photos/66e5c68a819c98fe80e82166/master/w_1280%2Cc_limit/00001-standing-ground-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-couture/standing-ground
