season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,16Arlington,1,https://assets.vogue.com/photos/6a5f34672ec8e03b78f61079/master/w_2560%2Cc_limit/00001-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,2,https://assets.vogue.com/photos/6a5f34672566da2eecb470e8/master/w_2560%2Cc_limit/00002-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,3,https://assets.vogue.com/photos/6a5f3467b54470bfd469c473/master/w_2560%2Cc_limit/00003-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,4,https://assets.vogue.com/photos/6a5f346ad79eef70217a3494/master/w_2560%2Cc_limit/00004-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,5,https://assets.vogue.com/photos/6a5f346ad989c85a64e12724/master/w_2560%2Cc_limit/00005-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,6,https://assets.vogue.com/photos/6a5f346a5638112c31f20f07/master/w_2560%2Cc_limit/00006-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,7,https://assets.vogue.com/photos/6a5f34f32ec8e03b78f61090/master/w_2560%2Cc_limit/00001a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,8,https://assets.vogue.com/photos/6a5f34f343f026835b735a3f/master/w_2560%2Cc_limit/00002a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,9,https://assets.vogue.com/photos/6a5f34f3780c99d7889b7ebf/master/w_2560%2Cc_limit/00003a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,10,https://assets.vogue.com/photos/6a5f34f50068ba6a496ae0ec/master/w_2560%2Cc_limit/00004a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,11,https://assets.vogue.com/photos/6a5f34f66814df106f8bb8d5/master/w_2560%2Cc_limit/00005a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,12,https://assets.vogue.com/photos/6a5f34f63110e36d4d7b4a48/master/w_2560%2Cc_limit/00006a-16arlington-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,13,https://assets.vogue.com/photos/6a5f345271f141af89800a20/master/w_1280%2Cc_limit/00001-16arlington-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,14,https://assets.vogue.com/photos/68c9aa0a23344c0846e504ec/master/w_1280%2Cc_limit/00001-16arlington-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,15,https://assets.vogue.com/photos/67b8c12a4ab91ab49fcb00e6/master/w_1280%2Cc_limit/00001-16arlington-fall-2025-ready-to-wear-credit-ethan-james-green-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,16,https://assets.vogue.com/photos/66e6f0bf9d3096dc942cd06b/master/w_1280%2Cc_limit/_OBY0014.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,17,https://assets.vogue.com/photos/65d0b817b112565a7a2cc7a5/master/w_1280%2Cc_limit/00001-16arlington-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
fall-2026-ready-to-wear,16Arlington,18,https://assets.vogue.com/photos/6505dc85378a12b3cb1cbe4b/master/w_1280%2Cc_limit/00001-16arlington-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/16arlington
