season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,A L C,1,https://assets.vogue.com/photos/698e34bbdedcca6cc04b97b6/master/w_2560%2Cc_limit/00001-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,2,https://assets.vogue.com/photos/698e34bbaa11e855a91144aa/master/w_2560%2Cc_limit/00002-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,3,https://assets.vogue.com/photos/698e34bb5671591b4b240ce1/master/w_2560%2Cc_limit/00003-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,4,https://assets.vogue.com/photos/698e34be734e6853af4ac2d9/master/w_2560%2Cc_limit/00004-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,5,https://assets.vogue.com/photos/698e34bf0a045784e00eefb4/master/w_2560%2Cc_limit/00005-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,6,https://assets.vogue.com/photos/698e34be23474dd14227d2b2/master/w_2560%2Cc_limit/00006-alc-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,7,https://assets.vogue.com/photos/698e3771cbf36af301cc8c3f/master/w_1280%2Cc_limit/00001-alc-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,8,https://assets.vogue.com/photos/694911ce32f475bd23c62a84/master/w_1280%2Cc_limit/00001-alc-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,9,https://assets.vogue.com/photos/68c44efc4fd30ac9bf7e3722/master/w_1280%2Cc_limit/00001-alc-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,10,https://assets.vogue.com/photos/6842ab3e5dfbedc373e4534d/master/w_1280%2Cc_limit/00001-alc-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,11,https://assets.vogue.com/photos/67adbdeb6d458821a839f203/master/w_1280%2Cc_limit/00001-alc-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
fall-2026-ready-to-wear,A L C,12,https://assets.vogue.com/photos/66e0b9905348083998545dbe/master/w_1280%2Cc_limit/00001-alc-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/a-l-c
