season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Adam Lippes,1,https://assets.vogue.com/photos/699323eec62669f5a5b55f6d/master/w_2560%2Cc_limit/00001-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,2,https://assets.vogue.com/photos/699323ef699b8d2775ce4c5e/master/w_2560%2Cc_limit/00002-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,3,https://assets.vogue.com/photos/699323f2527de1c4df87558d/master/w_2560%2Cc_limit/00003-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,4,https://assets.vogue.com/photos/699323f3fac721924f95227e/master/w_2560%2Cc_limit/00004-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,5,https://assets.vogue.com/photos/699323f3c191ac3040f1137d/master/w_2560%2Cc_limit/00005-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,6,https://assets.vogue.com/photos/699323f66bb13ac7b0fc1644/master/w_2560%2Cc_limit/00006-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,7,https://assets.vogue.com/photos/699325cc2aa1faca284ac75e/master/w_2560%2Cc_limit/00001-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,8,https://assets.vogue.com/photos/699325cb6f7451d9fe30dd4f/master/w_2560%2Cc_limit/00002-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,9,https://assets.vogue.com/photos/699325ce32fb24b3353121fa/master/w_2560%2Cc_limit/00003-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,10,https://assets.vogue.com/photos/699325cf42e120e96bcaae63/master/w_2560%2Cc_limit/00004-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,11,https://assets.vogue.com/photos/699325d09bd5734a70f6f455/master/w_2560%2Cc_limit/00005-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,12,https://assets.vogue.com/photos/699325d24d6f044ea07a7795/master/w_2560%2Cc_limit/00006-adam-lippes-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,13,https://assets.vogue.com/photos/69932572699b8d2775ce4c7d/master/w_1280%2Cc_limit/00001-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,14,https://assets.vogue.com/photos/69394a0b8d7eec09388c0649/master/w_1280%2Cc_limit/00001-adam-lippes-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,15,https://assets.vogue.com/photos/68c44347fe839688832ed461/master/w_1280%2Cc_limit/00001-adam-lippes-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,16,https://assets.vogue.com/photos/68432c3fcc0f4f3ad3878524/master/w_1280%2Cc_limit/00001-adam-lippes-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,17,https://assets.vogue.com/photos/67b3087f7ea3796cfbb52af1/master/w_1280%2Cc_limit/00001-adam-lippes-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
fall-2026-ready-to-wear,Adam Lippes,18,https://assets.vogue.com/photos/6757062defd9ff3db8ca7db6/master/w_1280%2Cc_limit/00001-adam-lippes-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/adam-lippes
