season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Alainpaul,1,https://assets.vogue.com/photos/69a7351c2f612eaaf4450bbf/master/w_2560%2Cc_limit/00001-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,2,https://assets.vogue.com/photos/69a7351c46ceda860879a00e/master/w_2560%2Cc_limit/00002-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,3,https://assets.vogue.com/photos/69a7351cedf4297061f6dd6a/master/w_2560%2Cc_limit/00003-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,4,https://assets.vogue.com/photos/69a73520070b44855d5566a0/master/w_2560%2Cc_limit/00004-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,5,https://assets.vogue.com/photos/69a7351fb553d9c01d9625c1/master/w_2560%2Cc_limit/00005-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,6,https://assets.vogue.com/photos/69a735202f612eaaf4450bc6/master/w_2560%2Cc_limit/00006-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,7,https://assets.vogue.com/photos/69a7360746ceda860879a02a/master/w_1280%2Cc_limit/00001-alainpaul-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,8,https://assets.vogue.com/photos/68dd1aa9af8ebe28d7cca654/master/w_1280%2Cc_limit/00001-alainpaul-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,9,https://assets.vogue.com/photos/67c878a43f7dfc1f018252c6/master/w_1280%2Cc_limit/00001-alainpaul-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,10,https://assets.vogue.com/photos/66f2a4f1b3c3e1bb263841cd/master/w_1280%2Cc_limit/00001-alainpaul-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
fall-2026-ready-to-wear,Alainpaul,11,https://assets.vogue.com/photos/65e3620ba3014a41621d2421/master/w_1280%2Cc_limit/00001-alainpaul-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alainpaul
