season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Alberta Ferretti,1,https://assets.vogue.com/photos/697f944fccf1c477607439a0/master/w_2560%2Cc_limit/00001-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,2,https://assets.vogue.com/photos/697f944f2cb2e0dd3e03a3ed/master/w_2560%2Cc_limit/00002-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,3,https://assets.vogue.com/photos/697f944f07a1257e28485d65/master/w_2560%2Cc_limit/00003-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,4,https://assets.vogue.com/photos/697f9453484316f1f3bb748e/master/w_2560%2Cc_limit/00004-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,5,https://assets.vogue.com/photos/697f9452464db0526c584388/master/w_2560%2Cc_limit/00005-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,6,https://assets.vogue.com/photos/697f9452ccf1c477607439a2/master/w_2560%2Cc_limit/00006-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,7,https://assets.vogue.com/photos/697f9525963155e2a16175c8/master/w_1280%2Cc_limit/00001-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,8,https://assets.vogue.com/photos/691f2318ead520f6538ae7d7/master/w_1280%2Cc_limit/00001-alberta-ferretti-prefall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,9,https://assets.vogue.com/photos/68d2dd99f4d7b88b963b3aa5/master/w_1280%2Cc_limit/00001-alberta-ferretti-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,10,https://assets.vogue.com/photos/683efe21967bcb6c158b1cbc/master/w_1280%2Cc_limit/00001-alberta-ferretti-resort-2026-detail-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,11,https://assets.vogue.com/photos/67be2a8ac9fe254958d40114/master/w_1280%2Cc_limit/00001-alberta-ferretti-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
fall-2026-ready-to-wear,Alberta Ferretti,12,https://assets.vogue.com/photos/66e9d2e9301e61b8422e1e90/master/w_1280%2Cc_limit/00001-alberta-ferretti-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alberta-ferretti
