season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Alejandra Alonso Rojas,1,https://assets.vogue.com/photos/698bb439ba7d1443f4668069/master/w_2560%2Cc_limit/00001-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,2,https://assets.vogue.com/photos/698bb43991252ce517abd238/master/w_2560%2Cc_limit/00003-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,3,https://assets.vogue.com/photos/698bb43c39404e3ca93c44bf/master/w_2560%2Cc_limit/00005-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,4,https://assets.vogue.com/photos/698bb43cd9eb753c7cd8e811/master/w_2560%2Cc_limit/00006-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,5,https://assets.vogue.com/photos/698bb43e666342ed80a86b8c/master/w_2560%2Cc_limit/00007-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,6,https://assets.vogue.com/photos/698bb43f059f868c4522ad98/master/w_2560%2Cc_limit/00008-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,7,https://assets.vogue.com/photos/698bb50a91252ce517abd251/master/w_2560%2Cc_limit/00002-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,8,https://assets.vogue.com/photos/698bb50af38baa1a9fa4fbf8/master/w_2560%2Cc_limit/00004-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,9,https://assets.vogue.com/photos/698bb50a666342ed80a86b9e/master/w_2560%2Cc_limit/00009-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,10,https://assets.vogue.com/photos/698bb50c878d6c7b1efad8a2/master/w_2560%2Cc_limit/00011-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,11,https://assets.vogue.com/photos/698bb50df38baa1a9fa4fbfe/master/w_2560%2Cc_limit/00012-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,12,https://assets.vogue.com/photos/698bb50d666342ed80a86ba4/master/w_2560%2Cc_limit/00015-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,13,https://assets.vogue.com/photos/698bb66cf80d2f63bd3683f6/master/w_1280%2Cc_limit/00001-alejandra-alonso-rojas-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,14,https://assets.vogue.com/photos/68c1f3d125b3ebf89773236d/master/w_1280%2Cc_limit/00001-alejandra-alonso-rojas-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,15,https://assets.vogue.com/photos/67adc47e12b1dd9d6146138a/master/w_1280%2Cc_limit/00001-alejandra-alonso-rojas-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,16,https://assets.vogue.com/photos/66e1aa516e35ccb82c3d1909/master/w_1280%2Cc_limit/_OBY0017.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,17,https://assets.vogue.com/photos/666175de86c868a15669d301/master/w_1280%2Cc_limit/00001-alejandra-alonso-rojas-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
fall-2026-ready-to-wear,Alejandra Alonso Rojas,18,https://assets.vogue.com/photos/65ccf2f19df2d42f3d8ff92f/master/w_1280%2Cc_limit/00001-alejandra-alonso-rojas-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/alejandra-alonso-rojas
