season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Aletta,1,https://assets.vogue.com/photos/69987486e5bf6e7a10b5742b/master/w_2560%2Cc_limit/00001-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,2,https://assets.vogue.com/photos/6998748676befe73246cab4a/master/w_2560%2Cc_limit/00002-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,3,https://assets.vogue.com/photos/699874867509fef799e2a655/master/w_2560%2Cc_limit/00003-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,4,https://assets.vogue.com/photos/69987489e673199f57d02caf/master/w_2560%2Cc_limit/00004-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,5,https://assets.vogue.com/photos/6998748afb53dc95c2ba80f6/master/w_2560%2Cc_limit/00005-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,6,https://assets.vogue.com/photos/6998748a55314bc62c461269/master/w_2560%2Cc_limit/00006-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,7,https://assets.vogue.com/photos/699875fab735068ea26ea6ff/master/w_2560%2Cc_limit/00001-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,8,https://assets.vogue.com/photos/699875f9b6c07333d3734462/master/w_2560%2Cc_limit/00002-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,9,https://assets.vogue.com/photos/699875fb2eeb32db2a34152d/master/w_2560%2Cc_limit/00003-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,10,https://assets.vogue.com/photos/699875fdb6c07333d3734468/master/w_2560%2Cc_limit/00004-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,11,https://assets.vogue.com/photos/699875fd316e9f07b8e9edcd/master/w_2560%2Cc_limit/00005-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,12,https://assets.vogue.com/photos/699875fef75c378ca864316b/master/w_2560%2Cc_limit/00006-a-letter-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,13,https://assets.vogue.com/photos/69987675178fb73c9382e80d/master/w_1280%2Cc_limit/00001-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
fall-2026-ready-to-wear,Aletta,14,https://assets.vogue.com/photos/68cc3620e8a174fa7cf6cd3f/master/w_1280%2Cc_limit/00001-aletta-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/aletta
