season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Antonio Grimaldi,1,https://assets.vogue.com/photos/6998710dfb53dc95c2ba80e2/master/w_2560%2Cc_limit/00001-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,2,https://assets.vogue.com/photos/6998710ce673199f57d02c9e/master/w_2560%2Cc_limit/00002-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,3,https://assets.vogue.com/photos/6998710d3722385384e0c5e6/master/w_2560%2Cc_limit/00003-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,4,https://assets.vogue.com/photos/699871106b43f486951135c9/master/w_2560%2Cc_limit/00004-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,5,https://assets.vogue.com/photos/69987110cad89cf9cad43c85/master/w_2560%2Cc_limit/00005-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,6,https://assets.vogue.com/photos/69987111efcc06f580e80179/master/w_2560%2Cc_limit/00006-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,7,https://assets.vogue.com/photos/699871122a7cbdbea3f3b740/master/w_2560%2Cc_limit/00007-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,8,https://assets.vogue.com/photos/69987113b26e553fd58927bf/master/w_2560%2Cc_limit/00008-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,9,https://assets.vogue.com/photos/699870ca7eda106adfde87a1/master/w_1280%2Cc_limit/00001-antonio-grimaldi-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,10,https://assets.vogue.com/photos/697767f258924dcab0529d7b/master/w_1280%2Cc_limit/00001-antonio-grimaldi-spring-2026-couture-credit-brand.jpg,Spring 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,11,https://assets.vogue.com/photos/68b859dcf28142288a077d4a/master/w_1280%2Cc_limit/00001-antonio-grimalda-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,12,https://assets.vogue.com/photos/68751e848d2876c44862af95/master/w_1280%2Cc_limit/00001-antonio-grimaldi-fall-2025-couture-credit-brand.jpg,Fall 2025 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,13,https://assets.vogue.com/photos/67978ce14f258bb0b3234b2a/master/w_1280%2Cc_limit/00001-antonio-grimaldi-spring-2025-couture-detail-credit-brand-spon.jpg,Spring 2025 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
fall-2026-ready-to-wear,Antonio Grimaldi,14,https://assets.vogue.com/photos/668bf7c1f4fea3cd5cc43ba4/master/w_1280%2Cc_limit/00001-antonio-grimaldi-fall-2024-couture-credit-brand-spon.jpg,Fall 2024 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/antonio-grimaldi
