season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Arthur Arbesser,1,https://assets.vogue.com/photos/6ab3b3a3c1635249ff965761/master/w_2560%2Cc_limit/00001-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,2,https://assets.vogue.com/photos/6ab3b3a368afeb135b173ff7/master/w_2560%2Cc_limit/00002-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,3,https://assets.vogue.com/photos/6ab3b3a6d2ec4563ae4b65c3/master/w_2560%2Cc_limit/00003-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,4,https://assets.vogue.com/photos/6ab3b3a800016084df772d53/master/w_2560%2Cc_limit/00004-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,5,https://assets.vogue.com/photos/6ab3b3a7502a1983d07e0388/master/w_2560%2Cc_limit/00005-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,6,https://assets.vogue.com/photos/6ab3b3ab90cdea95c550f848/master/w_2560%2Cc_limit/00006-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,7,https://assets.vogue.com/photos/6ab3b3ee5a9ef0a2d1f67450/master/w_1280%2Cc_limit/00001-arthur-arbesser-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,8,https://assets.vogue.com/photos/69a576f8f1c107e3c8523c4f/master/w_1280%2Cc_limit/00001-arthur-arbesser-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,9,https://assets.vogue.com/photos/68d5012bd43b8e5cbbf0d92e/master/w_1280%2Cc_limit/00001-arthur-arbesser-fall-2025-ready-to-wear-credit-henrik-blomqvist.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,10,https://assets.vogue.com/photos/66ed492372717c3bae4a8f1e/master/w_1280%2Cc_limit/00001-arthur-arbesser-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,11,https://assets.vogue.com/photos/65d9c89c0f57ef7ac766eea0/master/w_1280%2Cc_limit/00001-arthur-arbesser-fall-2024-ready-to-wear-credit-brand-yannick-schuette.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
fall-2026-ready-to-wear,Arthur Arbesser,12,https://assets.vogue.com/photos/650ed6d4f00b3d80888eeb92/master/w_1280%2Cc_limit/00001-arthur-arbesser-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/arthur-arbesser
