season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Ashish,1,https://assets.vogue.com/photos/69a5e6c25834c25aff89d393/master/w_2560%2Cc_limit/00001-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,2,https://assets.vogue.com/photos/69a5e6c25834c25aff89d391/master/w_2560%2Cc_limit/00002-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,3,https://assets.vogue.com/photos/69a5e6c274cb1e0657a4dcf0/master/w_2560%2Cc_limit/00003-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,4,https://assets.vogue.com/photos/69a5e6c65834c25aff89d39c/master/w_2560%2Cc_limit/00004-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,5,https://assets.vogue.com/photos/69a5e6c5ce3dced7552e234a/master/w_2560%2Cc_limit/00005-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,6,https://assets.vogue.com/photos/69a5e6c65f3b1512bd6dd4dd/master/w_2560%2Cc_limit/00006-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,7,https://assets.vogue.com/photos/69a5b2255feebe14eb307156/master/w_1280%2Cc_limit/00001-ashish-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,8,https://assets.vogue.com/photos/68d1897a2148e00a4353036e/master/w_1280%2Cc_limit/00001-ashish-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,9,https://assets.vogue.com/photos/67bc4f7d01e0b39ad4b9925b/master/w_1280%2Cc_limit/00001-ashish-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,10,https://assets.vogue.com/photos/66f955843ddb8ce52389d89b/master/w_1280%2Cc_limit/00001-ashish-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,11,https://assets.vogue.com/photos/65dfb3611dffd0398338dc33/master/w_1280%2Cc_limit/00001-ashish-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
fall-2026-ready-to-wear,Ashish,12,https://assets.vogue.com/photos/650865a22eb43d2a434c461a/master/w_1280%2Cc_limit/00001-ashish-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ashish
