season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bach Mai,1,https://assets.vogue.com/photos/699259b078098af49ae5c487/master/w_2560%2Cc_limit/00001-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,2,https://assets.vogue.com/photos/699259b1fac721924f951cb6/master/w_2560%2Cc_limit/00002-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,3,https://assets.vogue.com/photos/699259b29a89cd599b72607a/master/w_2560%2Cc_limit/00003-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,4,https://assets.vogue.com/photos/699259b300b0b5c78ce3e4ba/master/w_2560%2Cc_limit/00004-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,5,https://assets.vogue.com/photos/699259b42473ace43a1d33f1/master/w_2560%2Cc_limit/00005-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,6,https://assets.vogue.com/photos/699259b50746dda2a143d03d/master/w_2560%2Cc_limit/00006-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,7,https://assets.vogue.com/photos/699259633f1e9967fe18da35/master/w_1280%2Cc_limit/00001-bach-mai-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,8,https://assets.vogue.com/photos/68c7725c1c7661590ae4a25a/master/w_1280%2Cc_limit/00001-bach-mai-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,9,https://assets.vogue.com/photos/66de2011edf90efd82cd01bc/master/w_1280%2Cc_limit/00001-bach-mai-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,10,https://assets.vogue.com/photos/65c779ddcf6ac76d928f41b3/master/w_1280%2Cc_limit/00001-bach-mai-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,11,https://assets.vogue.com/photos/6500c9b2bbc0e55ab7b26f3c/master/w_1280%2Cc_limit/00001-bach-mai-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
fall-2026-ready-to-wear,Bach Mai,12,https://assets.vogue.com/photos/63ec6367a66abedcc8891282/master/w_1280%2Cc_limit/00001-bach-mai-fall-2023-ready-to-wear-credit-amber-gray.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bach-mai
