season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Balmain,1,https://assets.vogue.com/photos/69a97a45fc86728495f51184/master/w_2560%2Cc_limit/00001-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,2,https://assets.vogue.com/photos/69a97a450f343f270ffa022d/master/w_2560%2Cc_limit/00002-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,3,https://assets.vogue.com/photos/69a97a488d0cd78cfe9089f3/master/w_2560%2Cc_limit/00003-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,4,https://assets.vogue.com/photos/69a97a4860598f0ccee7bca2/master/w_2560%2Cc_limit/00004-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,5,https://assets.vogue.com/photos/69a97a486a0ddca74c52af7c/master/w_2560%2Cc_limit/00005-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,6,https://assets.vogue.com/photos/69a97a45a5529bad1e871857/master/w_2560%2Cc_limit/00006-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,7,https://assets.vogue.com/photos/69aadd8e91f51480278cfa14/master/w_2560%2Cc_limit/00001-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,8,https://assets.vogue.com/photos/69aadd8d263c1af5f9021e69/master/w_2560%2Cc_limit/00002-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,9,https://assets.vogue.com/photos/69aadd8e97043601f559e63f/master/w_2560%2Cc_limit/00003-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,10,https://assets.vogue.com/photos/69aadd91857616f68f7deee4/master/w_2560%2Cc_limit/00004-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,11,https://assets.vogue.com/photos/69aadd9147aca4ef17d5c5dc/master/w_2560%2Cc_limit/00005-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,12,https://assets.vogue.com/photos/69aadd92d1096e8ce83f6870/master/w_2560%2Cc_limit/00006-balmain-fall-2026-ready-to-wear-details-credit-brand.JPG,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,13,https://assets.vogue.com/photos/69a854078557f1eaa8c3383f/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_01.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,14,https://assets.vogue.com/photos/69a8540704e774aabc376976/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_02.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,15,https://assets.vogue.com/photos/69a85407f21feecce340dbc7/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_03.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,16,https://assets.vogue.com/photos/69a854092d93ad501ae91079/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_04.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,17,https://assets.vogue.com/photos/69a85409aba22d07a7b4113c/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_05.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,18,https://assets.vogue.com/photos/69a8540984e01cf33c4ea165/master/w_2560%2Cc_limit/Balmain_PFW_%2520fw26_backstageacielle_06.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,19,https://assets.vogue.com/photos/69a97af02912726d7724f985/master/w_1280%2Cc_limit/00001-balmain-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,20,https://assets.vogue.com/photos/68e52449961273974f3df8d5/master/w_1280%2Cc_limit/00001-balmain-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,21,https://assets.vogue.com/photos/68dd8d0be7da69acdb1fa6ad/master/w_1280%2Cc_limit/00001-balmain-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,22,https://assets.vogue.com/photos/6848443c93dbdb27d00d5da6/master/w_1280%2Cc_limit/00001-balmain-resort-2026-menswear-credit-brand.jpg,Resort 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,23,https://assets.vogue.com/photos/684800f79beab456f679c294/master/w_1280%2Cc_limit/00001-balmain-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
fall-2026-ready-to-wear,Balmain,24,https://assets.vogue.com/photos/67c8d788c564893612c9c15a/master/w_1280%2Cc_limit/00001-balmain-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/balmain
