season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bevza,1,https://assets.vogue.com/photos/6981d258fd7528cd3ba6617f/master/w_2560%2Cc_limit/00001-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,2,https://assets.vogue.com/photos/6981d2589b7aa1bd6d7f9fb6/master/w_2560%2Cc_limit/00002-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,3,https://assets.vogue.com/photos/6981d258929d671df1ac7ccd/master/w_2560%2Cc_limit/00003-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,4,https://assets.vogue.com/photos/6981d25a36cfb8ce829c2837/master/w_2560%2Cc_limit/00004-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,5,https://assets.vogue.com/photos/6981d25bd135f6a0317f860f/master/w_2560%2Cc_limit/00005-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,6,https://assets.vogue.com/photos/6981d25bc76caec0937c6a05/master/w_2560%2Cc_limit/00006-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,7,https://assets.vogue.com/photos/6981d2ccfb511fa948e7c516/master/w_2560%2Cc_limit/00012-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,8,https://assets.vogue.com/photos/6981d2cddd53fff8215e5fd3/master/w_2560%2Cc_limit/00016-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,9,https://assets.vogue.com/photos/6981d2cc46ca5382d8156f60/master/w_2560%2Cc_limit/00027-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,10,https://assets.vogue.com/photos/6981d2d06f189e5f00f45f96/master/w_2560%2Cc_limit/00032-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,11,https://assets.vogue.com/photos/6981d2e2260b575777463146/master/w_1280%2Cc_limit/00001-bevza-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,12,https://assets.vogue.com/photos/68c4826cc28c11510039ea55/master/w_1280%2Cc_limit/00001-bevza-spring-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,13,https://assets.vogue.com/photos/67a908fa71a25e1b3fdc6343/master/w_1280%2Cc_limit/00001-bevza-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,14,https://assets.vogue.com/photos/6757218d0184e0d3eca747f5/master/w_1280%2Cc_limit/00001-bevza-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,15,https://assets.vogue.com/photos/66cd9992357ce179e49cffaf/master/w_1280%2Cc_limit/00001-bevza-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
fall-2026-ready-to-wear,Bevza,16,https://assets.vogue.com/photos/668bf6dbe4fcc373d2f86ddb/master/w_1280%2Cc_limit/00001-bevza-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bevza
