season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bibhu Mohapatra,1,https://assets.vogue.com/photos/6992e7702949eec4d95c7f47/master/w_2560%2Cc_limit/00001-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,2,https://assets.vogue.com/photos/6992e76f2a11af5e0e0b5aab/master/w_2560%2Cc_limit/00002-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,3,https://assets.vogue.com/photos/6992e77032001949a549ca66/master/w_2560%2Cc_limit/00003-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,4,https://assets.vogue.com/photos/6992e77271c8a6e78dcce6d8/master/w_2560%2Cc_limit/00004-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,5,https://assets.vogue.com/photos/6992e773699b8d2775ce4bb5/master/w_2560%2Cc_limit/00005-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,6,https://assets.vogue.com/photos/6992e77348f741ceab2f8fb0/master/w_2560%2Cc_limit/00006-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,7,https://assets.vogue.com/photos/6992e84d5c9dc556f59c43cd/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,8,https://assets.vogue.com/photos/68c8a42ef96c4760e9061745/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,9,https://assets.vogue.com/photos/684c45986b71bf5e67279a33/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-resort-2026-credit-kevin-sturman-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,10,https://assets.vogue.com/photos/67aa9549844ce58a38201cd8/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,11,https://assets.vogue.com/photos/66e151c993fec9ff2da3e446/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
fall-2026-ready-to-wear,Bibhu Mohapatra,12,https://assets.vogue.com/photos/6667071c9a4a2ecdc7ecadf2/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bibhu-mohapatra
