season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bode,1,https://assets.vogue.com/photos/69b2da5a35ac046e3c8e43dc/master/w_2560%2Cc_limit/00001-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,2,https://assets.vogue.com/photos/69b2da5b0ea8abd0f4155cd7/master/w_2560%2Cc_limit/00002-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,3,https://assets.vogue.com/photos/69b2da5b8b45614e4bd6e32d/master/w_2560%2Cc_limit/00003-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,4,https://assets.vogue.com/photos/69b2da5e85aec9706a104909/master/w_2560%2Cc_limit/00004-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,5,https://assets.vogue.com/photos/69b2da5f7b9a593a7af74f5a/master/w_2560%2Cc_limit/00005-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,6,https://assets.vogue.com/photos/69b2da5ebab42b597591318f/master/w_2560%2Cc_limit/00006-bode-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,7,https://assets.vogue.com/photos/69af09d10df8f3116974834e/master/w_1280%2Cc_limit/00001-bode-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,8,https://assets.vogue.com/photos/685ae4c2227900acfa93d6cd/master/w_1280%2Cc_limit/00001-bode-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,9,https://assets.vogue.com/photos/67f54d6cdde0bf8aa8604839/master/w_1280%2Cc_limit/00001-bode-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,10,https://assets.vogue.com/photos/67580be8a480686686cc71e9/master/w_1280%2Cc_limit/00001-bode-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,11,https://assets.vogue.com/photos/65a109d53dd38b89cd5b5f1c/master/w_1280%2Cc_limit/00001-bode-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
fall-2026-ready-to-wear,Bode,12,https://assets.vogue.com/photos/6498636b346bc6316521171f/master/w_1280%2Cc_limit/00001-bode-spring-2024-menswear-credit-brand.jpg,Spring 2024 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bode
