season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bora Aksu,1,https://assets.vogue.com/photos/69986e6a19bca42ab8f4e025/master/w_2560%2Cc_limit/00001-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,2,https://assets.vogue.com/photos/69986e6a68c51d4bb34211b8/master/w_2560%2Cc_limit/00002-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,3,https://assets.vogue.com/photos/69986e6caeeccc33d73c093f/master/w_2560%2Cc_limit/00003-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,4,https://assets.vogue.com/photos/69986e70efcc06f580e80159/master/w_2560%2Cc_limit/00004-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,5,https://assets.vogue.com/photos/69986e712a7cbdbea3f3b6ff/master/w_2560%2Cc_limit/00005-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,6,https://assets.vogue.com/photos/69986e719629d9bf8f5da8bc/master/w_2560%2Cc_limit/00006-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,7,https://assets.vogue.com/photos/69986f472eeb32db2a341510/master/w_1280%2Cc_limit/00001-bora-aksu-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,8,https://assets.vogue.com/photos/68cd54221197f4ed584afeee/master/w_1280%2Cc_limit/00001-bora-aksu-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,9,https://assets.vogue.com/photos/67b88918167d782d5ca17f45/master/w_1280%2Cc_limit/00001-bora-aksu-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,10,https://assets.vogue.com/photos/66e4377c5ff2668470a42b80/master/w_1280%2Cc_limit/00001-bora-aksu-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,11,https://assets.vogue.com/photos/65cf59605b3a00206dab73ee/master/w_1280%2Cc_limit/00001-bora-aksu-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
fall-2026-ready-to-wear,Bora Aksu,12,https://assets.vogue.com/photos/650460d948598add63a1837a/master/w_1280%2Cc_limit/00001-bora-aksu-spring-2024-RTW-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bora-aksu
