season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Bottega Veneta,1,https://assets.vogue.com/photos/69a44918f01f564e429647d1/master/w_2560%2Cc_limit/00001-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,2,https://assets.vogue.com/photos/69a449189e2ec2019988798e/master/w_2560%2Cc_limit/00002-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,3,https://assets.vogue.com/photos/69a44917e7b1006f39da6f26/master/w_2560%2Cc_limit/00003-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,4,https://assets.vogue.com/photos/69a4491a153ac70920fbff44/master/w_2560%2Cc_limit/00004-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,5,https://assets.vogue.com/photos/69a4491bb3a5aa8120958c22/master/w_2560%2Cc_limit/00005-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,6,https://assets.vogue.com/photos/69a4491bb4760414ed6d113b/master/w_2560%2Cc_limit/00006-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,7,https://assets.vogue.com/photos/69a4a0b769e06d19488599d9/master/w_2560%2Cc_limit/00001-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,8,https://assets.vogue.com/photos/69a4a0b78095a5361a0c78a7/master/w_2560%2Cc_limit/00002-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,9,https://assets.vogue.com/photos/69a4a0b7e7b1006f39da6fe6/master/w_2560%2Cc_limit/00003-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,10,https://assets.vogue.com/photos/69a4a0ba222e6d31fcf02be8/master/w_2560%2Cc_limit/00004-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,11,https://assets.vogue.com/photos/69a4a0bab635e3088f93ad59/master/w_2560%2Cc_limit/00005-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,12,https://assets.vogue.com/photos/69a4a0bb57ae84ab8874b925/master/w_2560%2Cc_limit/00006-bottega-veneta-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,13,https://assets.vogue.com/photos/69a44a37f01f564e429647f4/master/w_1280%2Cc_limit/00001-bottega-veneta-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,14,https://assets.vogue.com/photos/68d95a6dc7a018ebd6b398f5/master/w_1280%2Cc_limit/00001-bottega-veneta-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,15,https://assets.vogue.com/photos/6717bc1119bb2af417587eaa/master/w_1280%2Cc_limit/00001-bottega-veneta-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,16,https://assets.vogue.com/photos/66f0613d7dcaa99a1af6b0c1/master/w_1280%2Cc_limit/00001-bottega-veneta-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,17,https://assets.vogue.com/photos/660d7590ff88c12596450611/master/w_1280%2Cc_limit/00001-bottega-veneta-pre-fall-2024-credit-brand.jpg,Pre-Fall 2024,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
fall-2026-ready-to-wear,Bottega Veneta,18,https://assets.vogue.com/photos/65e8411e8f85559999cd6315/master/w_1280%2Cc_limit/00001-bottega-veneta-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/bottega-veneta
