season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Burc Akyol,1,https://assets.vogue.com/photos/69a5d549ce3dced7552e2004/master/w_2560%2Cc_limit/00001-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,2,https://assets.vogue.com/photos/69a5d549051748b1cd2430ed/master/w_2560%2Cc_limit/00002-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,3,https://assets.vogue.com/photos/69a5d5495834c25aff89d28c/master/w_2560%2Cc_limit/00003-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,4,https://assets.vogue.com/photos/69a5d54d5834c25aff89d293/master/w_2560%2Cc_limit/00004-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,5,https://assets.vogue.com/photos/69a5d54eca7cf3346bf284b9/master/w_2560%2Cc_limit/00005-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,6,https://assets.vogue.com/photos/69a5d54efdc084f8a43bb99c/master/w_2560%2Cc_limit/00006-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,7,https://assets.vogue.com/photos/69a5d4f7051748b1cd2430e0/master/w_1280%2Cc_limit/00001-burc-akyol-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,8,https://assets.vogue.com/photos/68dabfdd48c6a42e758a35e8/master/w_1280%2Cc_limit/00001-burc-akyol-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,9,https://assets.vogue.com/photos/67d079e157d7546823253247/master/w_1280%2Cc_limit/00001-burc-akyol-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,10,https://assets.vogue.com/photos/6671dfdc144305dc96c04c41/master/w_1280%2Cc_limit/00001-burc-akyol-spring-2025-menswear-credit-gorunway.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,11,https://assets.vogue.com/photos/65a6c0e7b7983dd7f0ff640d/master/w_1280%2Cc_limit/00001-burc-akyol-fall-2024-menswear-credit-gorunway.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
fall-2026-ready-to-wear,Burc Akyol,12,https://assets.vogue.com/photos/6491de8fc1aeb0fdef2070a5/master/w_1280%2Cc_limit/00001-burc-akyol-spring-2024-menswear-credit-gorunway.jpg,Spring 2024 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/burc-akyol
