season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Calvin Klein Collection,1,https://assets.vogue.com/photos/698f980a03afff136ab3c5d7/master/w_2560%2Cc_limit/00001-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,2,https://assets.vogue.com/photos/698f980b07401b18a090fce1/master/w_2560%2Cc_limit/00002-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,3,https://assets.vogue.com/photos/698f980bb1b705bda56a34db/master/w_2560%2Cc_limit/00003-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,4,https://assets.vogue.com/photos/698f980e7715592cd8ea67da/master/w_2560%2Cc_limit/00004-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,5,https://assets.vogue.com/photos/698f980e902649c32101b9e0/master/w_2560%2Cc_limit/00005-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,6,https://assets.vogue.com/photos/698f980fc3585d60b4c26f35/master/w_2560%2Cc_limit/00006-calvin-klein-collection-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,7,https://assets.vogue.com/photos/698fad976ba154fb222130e7/master/w_2560%2Cc_limit/00001-calvin-klein-collection-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,8,https://assets.vogue.com/photos/698fad9773d18457d5bd9cbb/master/w_2560%2Cc_limit/00002-calvin-klein-collection-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,9,https://assets.vogue.com/photos/698fad96ba3eba5ae544a17d/master/w_2560%2Cc_limit/00003-calvin-klein-collection-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
fall-2026-ready-to-wear,Calvin Klein Collection,10,https://assets.vogue.com/photos/698fad9926e43596d5b982d4/master/w_2560%2Cc_limit/00004-calvin-klein-collection-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/calvin-klein-collection
