season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Celine,1,https://assets.vogue.com/photos/69ac3933fe79c04e77bd34b9/master/w_2560%2Cc_limit/00001-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,2,https://assets.vogue.com/photos/69ac392ebb7b5c829f71b17c/master/w_2560%2Cc_limit/00002-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,3,https://assets.vogue.com/photos/69ac393e407c133befbbc06e/master/w_2560%2Cc_limit/00003-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,4,https://assets.vogue.com/photos/69ac393dfc9ed9d304d0f802/master/w_2560%2Cc_limit/00004-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,5,https://assets.vogue.com/photos/69ac394dca813ebd625a3d9f/master/w_2560%2Cc_limit/00005-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,6,https://assets.vogue.com/photos/69ac3953eb76b460c5073800/master/w_2560%2Cc_limit/00006-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,7,https://assets.vogue.com/photos/69ac3a8c4cff6afe29df745c/master/w_1280%2Cc_limit/00001-celine-fall-2026-ready-to-wear-details-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,8,https://assets.vogue.com/photos/68f8fb308bb96dcba628e9e0/master/w_1280%2Cc_limit/00001-celine-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,9,https://assets.vogue.com/photos/6870e47f3ed2a1bd40469ff2/master/w_1280%2Cc_limit/00001-celine-resort-2026-credit-gorunway.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,10,https://assets.vogue.com/photos/62b9ba289ea794222a8342c7/master/w_1280%2Cc_limit/00001-celine-spring-2023-menswear-credit-getty.jpg,Spring 2023 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,11,https://assets.vogue.com/photos/5e596e8056da1c0008bf77f8/master/w_1280%2Cc_limit/_ALE0013.jpg,Fall 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
fall-2026-ready-to-wear,Celine,12,https://assets.vogue.com/photos/5d8e5c3211205600084be4e3/master/w_1280%2Cc_limit/_FIO0063.jpg,Spring 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/celine
