season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Central Saint Martins,1,https://assets.vogue.com/photos/69983614e5bf6e7a10b57084/master/w_2560%2Cc_limit/00001-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,2,https://assets.vogue.com/photos/69983615d97c643c7ce36271/master/w_2560%2Cc_limit/00002-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,3,https://assets.vogue.com/photos/69983614cad89cf9cad439ea/master/w_2560%2Cc_limit/00003-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,4,https://assets.vogue.com/photos/69983617e5bf6e7a10b5708b/master/w_2560%2Cc_limit/00004-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,5,https://assets.vogue.com/photos/69983617b26e553fd58925c8/master/w_2560%2Cc_limit/00005-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,6,https://assets.vogue.com/photos/6998361955314bc62c460faf/master/w_2560%2Cc_limit/00006-central-saint-martins-ma-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,7,https://assets.vogue.com/photos/699797c24fcda01016a23838/master/w_2560%2Cc_limit/CSM%2520MA26%2520by%2520Acielle%2520STYLEDUMONDEIMG_0939FullRes.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,8,https://assets.vogue.com/photos/699797c0c6d95f641ec1c601/master/w_2560%2Cc_limit/CSM%2520MA26%2520by%2520Acielle%2520STYLEDUMONDEIMG_0944FullRes.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,9,https://assets.vogue.com/photos/699797bf122482da31157515/master/w_2560%2Cc_limit/CSM%2520MA26%2520by%2520Acielle%2520STYLEDUMONDEIMG_0968FullRes.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
fall-2026-ready-to-wear,Central Saint Martins,10,https://assets.vogue.com/photos/699797cb34aa5e1a9aade82c/master/w_2560%2Cc_limit/CSM%2520MA26%2520by%2520Acielle%2520STYLEDUMONDEIMG_1046FullRes.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/central-saint-martins
