season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Charlie Constantinou,1,https://assets.vogue.com/photos/699b6facb2ce05ee526cc25e/master/w_2560%2Cc_limit/00001-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,2,https://assets.vogue.com/photos/699b6fad0d01c04c776bab29/master/w_2560%2Cc_limit/00002-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,3,https://assets.vogue.com/photos/699b6fad85ba1bdcbb34c65d/master/w_2560%2Cc_limit/00003-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,4,https://assets.vogue.com/photos/699b6fafb1e5da61cf71d7ff/master/w_2560%2Cc_limit/00004-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,5,https://assets.vogue.com/photos/699b6fb0a5c46ae880c0064e/master/w_2560%2Cc_limit/00005-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,6,https://assets.vogue.com/photos/699b6fb03c3c0f01cf9e86a3/master/w_2560%2Cc_limit/00006-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,7,https://assets.vogue.com/photos/699b7023a81f325425272e69/master/w_1280%2Cc_limit/00001-charlie-constantinou-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,8,https://assets.vogue.com/photos/68d162c4ee5f1b8d280ccd4e/master/w_1280%2Cc_limit/00001-charlie-constantinou-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,9,https://assets.vogue.com/photos/67b9cdfa9cfaaa4c3c3a1454/master/w_1280%2Cc_limit/00001-charlie-constantinou-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
fall-2026-ready-to-wear,Charlie Constantinou,10,https://assets.vogue.com/photos/66e8a182b473bedb121d7589/master/w_1280%2Cc_limit/00001-charlie-constantinou-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/charlie-constantinou
