season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Chloe,1,https://assets.vogue.com/photos/69a9930606b2d1147a999346/master/w_2560%2Cc_limit/00001-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,2,https://assets.vogue.com/photos/69a993068dca06ed3226c4e0/master/w_2560%2Cc_limit/00002-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,3,https://assets.vogue.com/photos/69a9930692146ecfbf3d19f3/master/w_2560%2Cc_limit/00003-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,4,https://assets.vogue.com/photos/69a9930954fb280c82d1c8ce/master/w_2560%2Cc_limit/00004-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,5,https://assets.vogue.com/photos/69a993090f343f270ffa02c6/master/w_2560%2Cc_limit/00005-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,6,https://assets.vogue.com/photos/69a993096eb56d0162bb9ef7/master/w_2560%2Cc_limit/00006-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,7,https://assets.vogue.com/photos/69a9937a25dc3d34c2445ab3/master/w_1280%2Cc_limit/00001-chloe-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,8,https://assets.vogue.com/photos/697795f1790778ed9de574c3/master/w_1280%2Cc_limit/00001-chloe-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,9,https://assets.vogue.com/photos/68e41cbca40613d87b974e5d/master/w_1280%2Cc_limit/00001-chloe-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,10,https://assets.vogue.com/photos/686c340fb4b99aacfad6cd80/master/w_1280%2Cc_limit/00001-chloe-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,11,https://assets.vogue.com/photos/67cae104326365043c9c76a3/master/w_1280%2Cc_limit/00001-chloe-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
fall-2026-ready-to-wear,Chloe,12,https://assets.vogue.com/photos/68531f0c40e507df9bfe721d/master/w_1280%2Cc_limit/00001-chloe-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/chloe
