season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Christian Dior,1,https://assets.vogue.com/photos/69a7e56247a597438ab7aca9/master/w_2560%2Cc_limit/00001-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,2,https://assets.vogue.com/photos/69a7e562a0fa9e8dfe42ad24/master/w_2560%2Cc_limit/00002-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,3,https://assets.vogue.com/photos/69a7e5610cb3b95fedd9ae71/master/w_2560%2Cc_limit/00003-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,4,https://assets.vogue.com/photos/69a7e566113ce9d76e684917/master/w_2560%2Cc_limit/00004-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,5,https://assets.vogue.com/photos/69a7e566b5a9ac76d85f7f78/master/w_2560%2Cc_limit/00005-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,6,https://assets.vogue.com/photos/69a7e566b5a9ac76d85f7f76/master/w_2560%2Cc_limit/00006-christian-dior-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,7,https://assets.vogue.com/photos/69a7e631f3aa6b19289c54ce/master/w_2560%2Cc_limit/00001-christian-dior-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,8,https://assets.vogue.com/photos/69a7e63247a597438ab7acc3/master/w_2560%2Cc_limit/00002-christian-dior-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,9,https://assets.vogue.com/photos/69a7e632aba22d07a7b40c7d/master/w_2560%2Cc_limit/00003-christian-dior-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
fall-2026-ready-to-wear,Christian Dior,10,https://assets.vogue.com/photos/69a7e634be7a05efea5c7a85/master/w_2560%2Cc_limit/00004-christian-dior-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christian-dior
