season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Christopher John Rogers,1,https://assets.vogue.com/photos/69ac7d9530cbc552db7567d2/master/w_2560%2Cc_limit/00001-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,2,https://assets.vogue.com/photos/69ac7d9591f51480278d0dc0/master/w_2560%2Cc_limit/00002-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,3,https://assets.vogue.com/photos/69ac7d96e68a28d30a5cb239/master/w_2560%2Cc_limit/00003-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,4,https://assets.vogue.com/photos/69ac7d989e444b8a4099e0f3/master/w_2560%2Cc_limit/00004-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,5,https://assets.vogue.com/photos/69ac7d99a0adc388e804e486/master/w_2560%2Cc_limit/00005-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,6,https://assets.vogue.com/photos/69ac7d99a0adc388e804e480/master/w_2560%2Cc_limit/00006-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,7,https://assets.vogue.com/photos/69ac7dfd185f8f11a4568bcc/master/w_1280%2Cc_limit/00001-christopher-john-rogers-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,8,https://assets.vogue.com/photos/68d6dde8375a246d221e7f33/master/w_1280%2Cc_limit/00001-christopher-john-rogers-spring-2026-ready-to-wear-credit-cesar-buitrago.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,9,https://assets.vogue.com/photos/67a5b58ec334e54dac4b1c74/master/w_1280%2Cc_limit/00001-christopher-john-rogers-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,10,https://assets.vogue.com/photos/651d4c3dd66434e42f4e3a61/master/w_1280%2Cc_limit/00001-christopher-john-rogers-pre-fall-2024-credit-brand.jpg,Pre-Fall 2024,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,11,https://assets.vogue.com/photos/644e35f76d2b1f02bbf78036/master/w_1280%2Cc_limit/00001-christopher-john-rogers-resort-2024-credit-gorunway.jpg,Resort 2024,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
fall-2026-ready-to-wear,Christopher John Rogers,12,https://assets.vogue.com/photos/63b5b2e0d51d805448a3608d/master/w_1280%2Cc_limit/00001-christopher-john-rogers-pre-fall-2023-credit-brand.jpg,Pre-Fall 2023,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/christopher-john-rogers
