season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Coach,1,https://assets.vogue.com/photos/698d1557dfd9166138c673cf/master/w_2560%2Cc_limit/00001-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,2,https://assets.vogue.com/photos/698d155715fcc095b04cff6f/master/w_2560%2Cc_limit/00002-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,3,https://assets.vogue.com/photos/698d1557699d333567d1fe30/master/w_2560%2Cc_limit/00003-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,4,https://assets.vogue.com/photos/698d155a9fa5bdad301d2b4f/master/w_2560%2Cc_limit/00004-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,5,https://assets.vogue.com/photos/698d155a87cfc9ce36b16810/master/w_2560%2Cc_limit/00005-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,6,https://assets.vogue.com/photos/698d155a79fdf8a77f2ee11f/master/w_2560%2Cc_limit/00006-coach-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,7,https://assets.vogue.com/photos/698d34c1dfd9166138c674ef/master/w_2560%2Cc_limit/00001-coach-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,8,https://assets.vogue.com/photos/698d34c2bd7dd67107b3c5f1/master/w_2560%2Cc_limit/00002-coach-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,9,https://assets.vogue.com/photos/698d34c22ca625597c646a02/master/w_2560%2Cc_limit/00003-coach-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
fall-2026-ready-to-wear,Coach,10,https://assets.vogue.com/photos/698d34c429bd90b5b6e37411/master/w_2560%2Cc_limit/00004-coach-fall-2026-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/coach
