season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Colleen Allen,1,https://assets.vogue.com/photos/6990f77303afff136ab3cf12/master/w_2560%2Cc_limit/00001-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,2,https://assets.vogue.com/photos/6990f7733913784456892f7c/master/w_2560%2Cc_limit/00002-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,3,https://assets.vogue.com/photos/6990f773f8f54eba9ec21a27/master/w_2560%2Cc_limit/00003-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,4,https://assets.vogue.com/photos/6990f7769177195231c23cbc/master/w_2560%2Cc_limit/00004-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,5,https://assets.vogue.com/photos/6990f7761b92e743f7368ff7/master/w_2560%2Cc_limit/00005-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,6,https://assets.vogue.com/photos/6990f776c361e711f69870e6/master/w_2560%2Cc_limit/00006-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,7,https://assets.vogue.com/photos/6990f73e812b2da9378341cd/master/w_2560%2Cc_limit/00001a-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,8,https://assets.vogue.com/photos/6990f73e3913784456892f76/master/w_2560%2Cc_limit/00006a-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,9,https://assets.vogue.com/photos/6990f73e641d13919510e71e/master/w_2560%2Cc_limit/00006b-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,10,https://assets.vogue.com/photos/6990f7416f5c71fa25b5e63b/master/w_2560%2Cc_limit/00008a-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,11,https://assets.vogue.com/photos/6990f7412473ace43a1d28f1/master/w_2560%2Cc_limit/00009a-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,12,https://assets.vogue.com/photos/6990f741cb738221b46e9126/master/w_2560%2Cc_limit/00010a-colleen-allen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,13,https://assets.vogue.com/photos/6990f835ac25e1d9d6d78638/master/w_1280%2Cc_limit/00001-colleen-allen-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,14,https://assets.vogue.com/photos/68c8c05f40a24ed6ebeef1fe/master/w_1280%2Cc_limit/00001-colleen-allen-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,15,https://assets.vogue.com/photos/67a7c21b6ec4f8714722b779/master/w_1280%2Cc_limit/00001-colleen-allen-fall-2025-ready-to-wear-credit-annie-powers-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
fall-2026-ready-to-wear,Colleen Allen,16,https://assets.vogue.com/photos/66e4abbe6fc32d4304dbd550/master/w_1280%2Cc_limit/00001-colleen-allen-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/colleen-allen
