season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Courreges,1,https://assets.vogue.com/photos/69a8ae0da28643218c642f09/master/w_2560%2Cc_limit/00001-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,2,https://assets.vogue.com/photos/69a8ae0dc0c19c64d2712940/master/w_2560%2Cc_limit/00002-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,3,https://assets.vogue.com/photos/69a8ae0deddc13d936c65502/master/w_2560%2Cc_limit/00003-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,4,https://assets.vogue.com/photos/69a8ae118305caaafab6a48d/master/w_2560%2Cc_limit/00004-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,5,https://assets.vogue.com/photos/69a8ae1192146ecfbf3d0898/master/w_2560%2Cc_limit/00005-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,6,https://assets.vogue.com/photos/69a8ae11b1174c71789a393d/master/w_2560%2Cc_limit/00006-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,7,https://assets.vogue.com/photos/69a9e0ee6a0ddca74c52b364/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_01.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,8,https://assets.vogue.com/photos/69a9e0ee8f7c9b2b9e72d1ac/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_02.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,9,https://assets.vogue.com/photos/69a9e0eee6f493231200f215/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_03.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,10,https://assets.vogue.com/photos/69a9e0f02912726d7724fd43/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_04.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,11,https://assets.vogue.com/photos/69a9e0ef0f131c648133f5b4/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_05.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,12,https://assets.vogue.com/photos/69a9e0efe6f493231200f21c/master/w_2560%2Cc_limit/Courre%25CC%2580ges_PFW_%2520fw26_backstageacielle_06.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,13,https://assets.vogue.com/photos/69a8aee192146ecfbf3d08c0/master/w_1280%2Cc_limit/00001-courreges-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,14,https://assets.vogue.com/photos/68dd055afce22dc8ce098c82/master/w_1280%2Cc_limit/00001-courreges-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,15,https://assets.vogue.com/photos/6836009a363e4da8916daf54/master/w_1280%2Cc_limit/00001-courreges-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,16,https://assets.vogue.com/photos/68556d38098bb8178984100a/master/w_1280%2Cc_limit/00002-courreges-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,17,https://assets.vogue.com/photos/67c8c99e50cbaa6cba52c9c4/master/w_1280%2Cc_limit/00001-courreges-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
fall-2026-ready-to-wear,Courreges,18,https://assets.vogue.com/photos/6784e6a4d9711d2b946be474/master/w_1280%2Cc_limit/00001-courreges-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/courreges
