season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Di Petsa,1,https://assets.vogue.com/photos/699c688be7f47ef5a2b38b6b/master/w_2560%2Cc_limit/00001-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,2,https://assets.vogue.com/photos/699c688bc626eb0904c6228b/master/w_2560%2Cc_limit/00002-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,3,https://assets.vogue.com/photos/699c688b39cebc373e5f4a03/master/w_2560%2Cc_limit/00003-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,4,https://assets.vogue.com/photos/699c688eaa17ce0addaea5bb/master/w_2560%2Cc_limit/00004-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,5,https://assets.vogue.com/photos/699c688e159963a03c39d543/master/w_2560%2Cc_limit/00005-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,6,https://assets.vogue.com/photos/699c688ed45701261df0aa98/master/w_2560%2Cc_limit/00006-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,7,https://assets.vogue.com/photos/699c68e21a82d19111ce3064/master/w_1280%2Cc_limit/00001-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,8,https://assets.vogue.com/photos/68cd76a54d50b930ab7746b5/master/w_1280%2Cc_limit/00001-di-petsa-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,9,https://assets.vogue.com/photos/67b8dad63206d9b03def0ff1/master/w_1280%2Cc_limit/00001-di-petsa-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,10,https://assets.vogue.com/photos/66e4275bcc5ce7a178648654/master/w_1280%2Cc_limit/00001-di-petsa-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,11,https://assets.vogue.com/photos/65d37a1b8067a5d267c331ea/master/w_1280%2Cc_limit/00001-di-petsa-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
fall-2026-ready-to-wear,Di Petsa,12,https://assets.vogue.com/photos/65047f9a4ab33b0dc2f7d4f4/master/w_1280%2Cc_limit/00001-di-petsa-spring-2024-RTW-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/di-petsa
