season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Diane Von Furstenberg,1,https://assets.vogue.com/photos/69a7052fd08063c920b9f94c/master/w_2560%2Cc_limit/00001-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,2,https://assets.vogue.com/photos/69a7052fd7cc5e611fdf2303/master/w_2560%2Cc_limit/00002-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,3,https://assets.vogue.com/photos/69a7052f19b858d5d666366d/master/w_2560%2Cc_limit/00003-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,4,https://assets.vogue.com/photos/69a7053219b858d5d6663673/master/w_2560%2Cc_limit/00004-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,5,https://assets.vogue.com/photos/69a705322700d31ef6c7c1df/master/w_2560%2Cc_limit/00005-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,6,https://assets.vogue.com/photos/69a705323fde453b99cbb560/master/w_2560%2Cc_limit/00006-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,7,https://assets.vogue.com/photos/69a705ce4163cc4538c36183/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,8,https://assets.vogue.com/photos/68c1e43625b3ebf897732360/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,9,https://assets.vogue.com/photos/6842aa12998e794390196d7a/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,10,https://assets.vogue.com/photos/679f877c098428d3551bfc52/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,11,https://assets.vogue.com/photos/6526d2ca8d024afe7d4c009f/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-resort-2024-credit-brand.jpg,Resort 2024,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
fall-2026-ready-to-wear,Diane Von Furstenberg,12,https://assets.vogue.com/photos/64d0c688db349e28e857b136/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-fall-2023-ready-to-wear-credit-brand.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/diane-von-furstenberg
