season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Donna Karan,1,https://assets.vogue.com/photos/6982321071854963b798d9ec/master/w_2560%2Cc_limit/00001-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,2,https://assets.vogue.com/photos/6982321111e6a3b1fd0e81f7/master/w_2560%2Cc_limit/00002-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,3,https://assets.vogue.com/photos/69823211dd53fff8215e5fe4/master/w_2560%2Cc_limit/00003-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,4,https://assets.vogue.com/photos/698232142505bbdce8bcf860/master/w_2560%2Cc_limit/00004-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,5,https://assets.vogue.com/photos/6982321413f14f7fa28eed72/master/w_2560%2Cc_limit/00005-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,6,https://assets.vogue.com/photos/69823214d9f6c172e456abe8/master/w_2560%2Cc_limit/00006-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,7,https://assets.vogue.com/photos/69823265968e1b428c3864a2/master/w_1280%2Cc_limit/00001-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,8,https://assets.vogue.com/photos/68b80212c1b72eb480f53d2f/master/w_1280%2Cc_limit/00001-donna-karan-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,9,https://assets.vogue.com/photos/67a260e3f3026adf436cf4bf/master/w_1280%2Cc_limit/00001-donna-karan-new-york-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,10,https://assets.vogue.com/photos/6717ca93f177a605e3fae16e/master/w_1280%2Cc_limit/00001-donna-karan-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,11,https://assets.vogue.com/photos/55c650b708298d8be214f156/master/w_1280%2Cc_limit/donna-karan-001-1366.jpg,Resort 2016,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
fall-2026-ready-to-wear,Donna Karan,12,https://assets.vogue.com/photos/55c651d708298d8be2290dc3/master/w_1280%2Cc_limit/KAR_0049.jpg,Fall 2015 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/donna-karan
