season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Edward Cuming,1,https://assets.vogue.com/photos/698ca3363af505997ccadb2d/master/w_2560%2Cc_limit/00001-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,2,https://assets.vogue.com/photos/698ca336320026e597565db0/master/w_2560%2Cc_limit/00002-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,3,https://assets.vogue.com/photos/698ca3359923e0a98c5b3005/master/w_2560%2Cc_limit/00003-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,4,https://assets.vogue.com/photos/698ca33b87cfc9ce36b16149/master/w_2560%2Cc_limit/00004-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,5,https://assets.vogue.com/photos/698ca33d60fb5b0b2be095f7/master/w_2560%2Cc_limit/00005-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,6,https://assets.vogue.com/photos/698ca33d1a6dcb3dce430735/master/w_2560%2Cc_limit/00006-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,7,https://assets.vogue.com/photos/698ca3a491252ce517abde19/master/w_2560%2Cc_limit/00005a-edward-cuming-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,8,https://assets.vogue.com/photos/698ca3a3666342ed80a874f8/master/w_2560%2Cc_limit/00012a-edward-cuming-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,9,https://assets.vogue.com/photos/698ca3a6f38baa1a9fa50651/master/w_2560%2Cc_limit/00014a-edward-cuming-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,10,https://assets.vogue.com/photos/698ca3a81e9becf3cb6f4cc5/master/w_2560%2Cc_limit/00021a-edward-cuming-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,11,https://assets.vogue.com/photos/698ca3aa77ea70cec7baa560/master/w_2560%2Cc_limit/00027a-edward-cuming-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,12,https://assets.vogue.com/photos/698ca2f659341f82aae44d38/master/w_1280%2Cc_limit/00001-edward-cuming-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,13,https://assets.vogue.com/photos/68601a135c1d711614d57f50/master/w_1280%2Cc_limit/00001-edward-cuming-spring-2026-menswear-credit-alice-neale-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
fall-2026-ready-to-wear,Edward Cuming,14,https://assets.vogue.com/photos/67b482f406a66d2ad5f545ca/master/w_1280%2Cc_limit/00001-edward-cuming-fall-2025-ready-to-wear-credit-jules-moskovtchenko-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/edward-cuming
