season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Enfants Riches Deprimes,1,https://assets.vogue.com/photos/69add1751325f421f5c6bf95/master/w_2560%2Cc_limit/00001-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,2,https://assets.vogue.com/photos/69add175f3fb201b94e366e5/master/w_2560%2Cc_limit/00002-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,3,https://assets.vogue.com/photos/69add174499f79d85c525e9f/master/w_2560%2Cc_limit/00003-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,4,https://assets.vogue.com/photos/69add177f3fb201b94e366ec/master/w_2560%2Cc_limit/00004-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,5,https://assets.vogue.com/photos/69add1786a5ccf690089f8a6/master/w_2560%2Cc_limit/00005-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,6,https://assets.vogue.com/photos/69add17805d5fc026c8f19fa/master/w_2560%2Cc_limit/00006-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,7,https://assets.vogue.com/photos/69add17a9dcd10f72117f3b0/master/w_2560%2Cc_limit/00007-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,8,https://assets.vogue.com/photos/69add17bca813ebd625a48d4/master/w_2560%2Cc_limit/00008-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,9,https://assets.vogue.com/photos/69add28cf7b04ef504cd7338/master/w_1280%2Cc_limit/00001-enfants-riches-deprimes-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,10,https://assets.vogue.com/photos/68dea35c37c32b7b66831966/master/w_1280%2Cc_limit/00001-enfants-riches-deprimes-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,11,https://assets.vogue.com/photos/67ce00a12013625fe3f1ec0b/master/w_1280%2Cc_limit/00001-enfants-riches-deprimes-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,12,https://assets.vogue.com/photos/5e690773f5ab980009426829/master/w_1280%2Cc_limit/00001-Enfants-Riches-Deprimes-Fall-20-RTW.jpg,Fall 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,13,https://assets.vogue.com/photos/5e2869bf35bb530008ce2b79/master/w_1280%2Cc_limit/00001-Enfants-Riches-Deprimes-Mens-Fall-20.jpg,Fall 2020 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
fall-2026-ready-to-wear,Enfants Riches Deprimes,14,https://assets.vogue.com/photos/5d9d9f7bdbf9240008c1795e/master/w_1280%2Cc_limit/00003-Enfants-Riches-Deprimes-Spring-2020-Ready-to-wear.jpg,Spring 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/enfants-riches-deprimes
