season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Fendi,1,https://assets.vogue.com/photos/699f1a55f4937901216d24ed/master/w_2560%2Cc_limit/00001-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,2,https://assets.vogue.com/photos/699f1a552ca060d2c858d782/master/w_2560%2Cc_limit/00002-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,3,https://assets.vogue.com/photos/699f1a56d7457ba8b387058f/master/w_2560%2Cc_limit/00003-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,4,https://assets.vogue.com/photos/699f1a5936ebc1ba533cfb37/master/w_2560%2Cc_limit/00004-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,5,https://assets.vogue.com/photos/699f1a58c5b6c065e86beb69/master/w_2560%2Cc_limit/00005-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,6,https://assets.vogue.com/photos/699f1a5914fbbaef7fd50df2/master/w_2560%2Cc_limit/00006-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,7,https://assets.vogue.com/photos/699f34fad28bb7fb543ab3bd/master/w_2560%2Cc_limit/00001-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,8,https://assets.vogue.com/photos/699f34fdca4bc48492fba35c/master/w_2560%2Cc_limit/00002-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,9,https://assets.vogue.com/photos/699f34fdf287e3479ed9ddf0/master/w_2560%2Cc_limit/00003-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,10,https://assets.vogue.com/photos/699f34fe069f65841c3934c0/master/w_2560%2Cc_limit/00004-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,11,https://assets.vogue.com/photos/699f3502089e2cd2f249f100/master/w_2560%2Cc_limit/00005-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,12,https://assets.vogue.com/photos/699f3504eb5e6aa95100ea22/master/w_2560%2Cc_limit/00006-fendi-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,13,https://assets.vogue.com/photos/699f1b6b31d30994289533e5/master/w_1280%2Cc_limit/00001-fendi-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,14,https://assets.vogue.com/photos/68d40681462d0ee10a4feed2/master/w_1280%2Cc_limit/00001-fendi-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,15,https://assets.vogue.com/photos/68274a4cb3f77967d1b20556/master/w_1280%2Cc_limit/00001-fendi-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,16,https://assets.vogue.com/photos/67bf959204f542a3d1828c52/master/w_1280%2Cc_limit/00001-fendi-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,17,https://assets.vogue.com/photos/66e9a8fecfa7cd7b4a8849e3/master/w_1280%2Cc_limit/00001-fendi-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
fall-2026-ready-to-wear,Fendi,18,https://assets.vogue.com/photos/666db052827fb9f9e7211ced/master/w_1280%2Cc_limit/00001-fendi-spring-2025-menswear-credit-gorunway.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/fendi
