season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Frederick Anderson,1,https://assets.vogue.com/photos/698d1c102ca625597c646964/master/w_2560%2Cc_limit/00001-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,2,https://assets.vogue.com/photos/698d1c11825348e39727a4fb/master/w_2560%2Cc_limit/00002-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,3,https://assets.vogue.com/photos/698d1c1376e839a75f0a8c97/master/w_2560%2Cc_limit/00003-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,4,https://assets.vogue.com/photos/698d1c137d085b84de4f31b2/master/w_2560%2Cc_limit/00004-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,5,https://assets.vogue.com/photos/698d1c14bd7dd67107b3c53e/master/w_2560%2Cc_limit/00005-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,6,https://assets.vogue.com/photos/698d1c1615fcc095b04d010e/master/w_2560%2Cc_limit/00006-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,7,https://assets.vogue.com/photos/698d1c5b42a5d8b9a4e59a52/master/w_1280%2Cc_limit/00001-frederick-anderson-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,8,https://assets.vogue.com/photos/6937e4f221e51938b877ae92/master/w_1280%2Cc_limit/00001-frederick-anderson-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,9,https://assets.vogue.com/photos/68c9e5f991941e1308510026/master/w_1280%2Cc_limit/00001-frederick-anderson-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,10,https://assets.vogue.com/photos/6855710f71e0878ba526f18f/master/w_1280%2Cc_limit/00001-frederick-anderson-resort-2026-credit-rocio-segura.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,11,https://assets.vogue.com/photos/67abcf02a8beced334949b2f/master/w_1280%2Cc_limit/00001-frederick-anderson-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
fall-2026-ready-to-wear,Frederick Anderson,12,https://assets.vogue.com/photos/67602954f8b4549bbf92aa32/master/w_1280%2Cc_limit/00001-frederick-anderson-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/frederick-anderson
