season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Gabriela Hearst,1,https://assets.vogue.com/photos/69aee3b1e290bb07f3abbd88/master/w_2560%2Cc_limit/00001-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,2,https://assets.vogue.com/photos/69aee3b1ba86cf7ed309f0f9/master/w_2560%2Cc_limit/00002-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,3,https://assets.vogue.com/photos/69aee3b1e987004aad0a0a46/master/w_2560%2Cc_limit/00003-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,4,https://assets.vogue.com/photos/69aee3b425ce679068f2be36/master/w_2560%2Cc_limit/00004-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,5,https://assets.vogue.com/photos/69aee3b40796f0a571e9e310/master/w_2560%2Cc_limit/00005-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,6,https://assets.vogue.com/photos/69aee3b46bcde4bf0370c75d/master/w_2560%2Cc_limit/00006-gabriela-hearst-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,7,https://assets.vogue.com/photos/69af02646d11b91559c6ad08/master/w_2560%2Cc_limit/00001-gabriela-hearst-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,8,https://assets.vogue.com/photos/69af0265af18a345272134af/master/w_2560%2Cc_limit/00002-gabriela-hearst-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,9,https://assets.vogue.com/photos/69af02650df8f311697480e8/master/w_2560%2Cc_limit/00003-gabriela-hearst-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
fall-2026-ready-to-wear,Gabriela Hearst,10,https://assets.vogue.com/photos/69af0268980a42e6b83f67e4/master/w_2560%2Cc_limit/00004-gabriela-hearst-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/gabriela-hearst
