season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Ganni,1,https://assets.vogue.com/photos/69a86f5f267bbfd6999a4cc6/master/w_2560%2Cc_limit/00001-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,2,https://assets.vogue.com/photos/69a86f5fd0b5226aaf8d246d/master/w_2560%2Cc_limit/00002-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,3,https://assets.vogue.com/photos/69a86f5f113ce9d76e684f65/master/w_2560%2Cc_limit/00003-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,4,https://assets.vogue.com/photos/69a86f626a9a0b90f99c8f99/master/w_2560%2Cc_limit/00004-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,5,https://assets.vogue.com/photos/69a86f6250d6471fd0acb6e5/master/w_2560%2Cc_limit/00005-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,6,https://assets.vogue.com/photos/69a86f629a503dd604052067/master/w_2560%2Cc_limit/00006-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,7,https://assets.vogue.com/photos/69a86f3704e774aabc376dee/master/w_2560%2Cc_limit/00003a-ganni-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,8,https://assets.vogue.com/photos/69a86f360bf2916bd0f2d193/master/w_2560%2Cc_limit/00024a-ganni-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,9,https://assets.vogue.com/photos/69a86f37d32a524723023ee8/master/w_2560%2Cc_limit/00027a-ganni-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,10,https://assets.vogue.com/photos/69a86fcad81cf9974d859e84/master/w_1280%2Cc_limit/00001-ganni-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,11,https://assets.vogue.com/photos/6937e3ae44595cd14eb7ca5e/master/w_1280%2Cc_limit/00001-ganni-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,12,https://assets.vogue.com/photos/68dc0e938f6ac70c173ffe1b/master/w_1280%2Cc_limit/00001-ganni-spring-2026-ready-to-wear-credit-esther-theaker.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,13,https://assets.vogue.com/photos/68597e5ad375375e11e71600/master/w_1280%2Cc_limit/00001-ganni-resort-2026-credit-alice-neale.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,14,https://assets.vogue.com/photos/67c7492f6a902568cb80ff30/master/w_1280%2Cc_limit/00001-ganni-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
fall-2026-ready-to-wear,Ganni,15,https://assets.vogue.com/photos/6759590b81cc1826ae8e0361/master/w_1280%2Cc_limit/00001-ganni-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ganni
