season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Greta Constantine,1,https://assets.vogue.com/photos/6982075b260b57577746315c/master/w_2560%2Cc_limit/00001-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,2,https://assets.vogue.com/photos/6982075a2cbdd3f7fd83f560/master/w_2560%2Cc_limit/00002-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,3,https://assets.vogue.com/photos/698207594439cd55b3f1f764/master/w_2560%2Cc_limit/00003-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,4,https://assets.vogue.com/photos/6982075c7b7ad02417d06c5c/master/w_2560%2Cc_limit/00004-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,5,https://assets.vogue.com/photos/6982075d36cfb8ce829c2849/master/w_2560%2Cc_limit/00005-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,6,https://assets.vogue.com/photos/6982075e8b0d8e3f8d472037/master/w_2560%2Cc_limit/00006-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,7,https://assets.vogue.com/photos/6982074b08e0b05225ef0403/master/w_1280%2Cc_limit/00001-greta-constantine-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,8,https://assets.vogue.com/photos/68c1983a33457673d24a1aaf/master/w_1280%2Cc_limit/00001-greta-constantine-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,9,https://assets.vogue.com/photos/684afdf5c103195438a40e56/master/w_1280%2Cc_limit/00001-greta-constantine-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,10,https://assets.vogue.com/photos/67ae0e056ca8741e74aaf703/master/w_1280%2Cc_limit/00001-greta-constantine-fall-2025-ready-to-wear-credit-the-royal-gilbert-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,11,https://assets.vogue.com/photos/66e969404db27b05170abac6/master/w_1280%2Cc_limit/00001-greta-constantine-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
fall-2026-ready-to-wear,Greta Constantine,12,https://assets.vogue.com/photos/668cf8872d8575112993be57/master/w_1280%2Cc_limit/00001-greta-constantine-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/greta-constantine
