season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Hm,1,https://assets.vogue.com/photos/6aad043074ff43d280feb40d/master/w_2560%2Cc_limit/00001-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,2,https://assets.vogue.com/photos/6aad0430306fe7d8abc2a3fe/master/w_2560%2Cc_limit/00002-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,3,https://assets.vogue.com/photos/6aad042fcce80340259516f3/master/w_2560%2Cc_limit/00003-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,4,https://assets.vogue.com/photos/6aad043320fdd47d7dfeb45d/master/w_2560%2Cc_limit/00004-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,5,https://assets.vogue.com/photos/6aad0434306fe7d8abc2a405/master/w_2560%2Cc_limit/00005-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,6,https://assets.vogue.com/photos/6aad04347f67cdf46557c46c/master/w_2560%2Cc_limit/00006-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,7,https://assets.vogue.com/photos/6aad048b7f67cdf46557c473/master/w_1280%2Cc_limit/00001-h-and-m-studio-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,8,https://assets.vogue.com/photos/69775a4726c07eab78feac43/master/w_1280%2Cc_limit/00001-h-and-m-studio-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,9,https://assets.vogue.com/photos/68a881eb56f54273cfc43073/master/w_1280%2Cc_limit/001-h-and-m-studio-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,10,https://assets.vogue.com/photos/680b8d617c05ba2b852091bd/master/w_1280%2Cc_limit/00001-h-and-m-studio-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,11,https://assets.vogue.com/photos/66eb39cacd765deeebc6c4e6/master/w_1280%2Cc_limit/00001-h-m-studio-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
fall-2026-ready-to-wear,Hm,12,https://assets.vogue.com/photos/65aa4fd5209f4f1bc1320d29/master/w_1280%2Cc_limit/00001-hm-studio-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hm
