season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Hodakova,1,https://assets.vogue.com/photos/69a5f466392763bf740fd821/master/w_2560%2Cc_limit/00001-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,2,https://assets.vogue.com/photos/69a5f465fe6b3542c4f17ae6/master/w_2560%2Cc_limit/00002-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,3,https://assets.vogue.com/photos/69a5f46547bc1321a9ebb312/master/w_2560%2Cc_limit/00003-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,4,https://assets.vogue.com/photos/69a5f46aae3802c46f1df3c6/master/w_2560%2Cc_limit/00004-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,5,https://assets.vogue.com/photos/69a5f46a5f3b1512bd6dd55f/master/w_2560%2Cc_limit/00005-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,6,https://assets.vogue.com/photos/69a5f46bcf9e1a84c03a4d28/master/w_2560%2Cc_limit/00006-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,7,https://assets.vogue.com/photos/69a6031b74cb1e0657a4dfd1/master/w_2560%2Cc_limit/00001-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,8,https://assets.vogue.com/photos/69a6031c6d2baf489647800b/master/w_2560%2Cc_limit/00002-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,9,https://assets.vogue.com/photos/69a6031c0825cafde56a7950/master/w_2560%2Cc_limit/00003-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,10,https://assets.vogue.com/photos/69a6032085c7d174fd99719b/master/w_2560%2Cc_limit/00004-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,11,https://assets.vogue.com/photos/69a6032274cb1e0657a4dfd8/master/w_2560%2Cc_limit/00005-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,12,https://assets.vogue.com/photos/69a60322cf9e1a84c03a4dc3/master/w_2560%2Cc_limit/00006-hodakova-fall-2026-ready-to-wear-details-credit-gorunway.JPG,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,13,https://assets.vogue.com/photos/69a5f3f27b93351132f8f6c7/master/w_1280%2Cc_limit/00001-hodakova-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,14,https://assets.vogue.com/photos/68dab70b93dc9c2ed983bbbb/master/w_1280%2Cc_limit/00001-hodakova-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,15,https://assets.vogue.com/photos/67c9d7ac64314662b7984bc3/master/w_1280%2Cc_limit/00001-hodakova-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,16,https://assets.vogue.com/photos/66f307c9dad883186fa68b09/master/w_1280%2Cc_limit/00001-hodakova-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,17,https://assets.vogue.com/photos/65e4c454ecf727e53604e32e/master/w_1280%2Cc_limit/00001-hodakova-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
fall-2026-ready-to-wear,Hodakova,18,https://assets.vogue.com/photos/6512c7922783b592f2e1499c/master/w_1280%2Cc_limit/00001-hodakova-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/hodakova
