season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Jenny Packham,1,https://assets.vogue.com/photos/69a7194ad7cc5e611fdf250c/master/w_2560%2Cc_limit/00001-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,2,https://assets.vogue.com/photos/69a7194b19b858d5d6663c94/master/w_2560%2Cc_limit/00002-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,3,https://assets.vogue.com/photos/69a7194bea5539abc092dd44/master/w_2560%2Cc_limit/00003-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,4,https://assets.vogue.com/photos/69a7194c3fde453b99cbbac5/master/w_2560%2Cc_limit/00004-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,5,https://assets.vogue.com/photos/69a7194e19b858d5d6663c9a/master/w_2560%2Cc_limit/00005-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,6,https://assets.vogue.com/photos/69a7194e352bc3493a9059c5/master/w_2560%2Cc_limit/00006-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,7,https://assets.vogue.com/photos/69a719cd5e0168b13e3cf1c0/master/w_1280%2Cc_limit/00001-jenny-packham-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,8,https://assets.vogue.com/photos/697105d90f7c7191334c17a3/master/w_1280%2Cc_limit/00001-jenny-packham-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,9,https://assets.vogue.com/photos/68e01cf563d06179d0148381/master/w_1280%2Cc_limit/00001-jenny-packham-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,10,https://assets.vogue.com/photos/685d55dfa2a8d50e96c51eaf/master/w_1280%2Cc_limit/00001-jenny-packham-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,11,https://assets.vogue.com/photos/67c9ff01631af1d0fa98c7f9/master/w_1280%2Cc_limit/00001-jenny-packham-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
fall-2026-ready-to-wear,Jenny Packham,12,https://assets.vogue.com/photos/678fd9a2ccb82f16d4fff7b5/master/w_1280%2Cc_limit/00001-jenny-packham-pre-fall-2025-ready-to-wear-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/jenny-packham
