season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Joseph,1,https://assets.vogue.com/photos/6998a7566b43f486951137cd/master/w_2560%2Cc_limit/00001-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,2,https://assets.vogue.com/photos/6998a757ac92599e2e47427a/master/w_2560%2Cc_limit/00002-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,3,https://assets.vogue.com/photos/6998a759cad89cf9cad43f77/master/w_2560%2Cc_limit/00003-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,4,https://assets.vogue.com/photos/6998a75ab26e553fd58929b8/master/w_2560%2Cc_limit/00004-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,5,https://assets.vogue.com/photos/6998a75ae5bf6e7a10b57627/master/w_2560%2Cc_limit/00005-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,6,https://assets.vogue.com/photos/6998a75d49927f5b8bb10a96/master/w_2560%2Cc_limit/00006-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,7,https://assets.vogue.com/photos/6998a80a9629d9bf8f5dabec/master/w_1280%2Cc_limit/00001-joseph-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,8,https://assets.vogue.com/photos/5e593825a03ec400081142c0/master/w_1280%2Cc_limit/00001-JOSEPH-FALL-20-RTW.jpg,Fall 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,9,https://assets.vogue.com/photos/5ddfcf8d481676000831d359/master/w_1280%2Cc_limit/00001-Joseph-Pre-Fall-20.jpg,Pre-Fall 2020,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,10,https://assets.vogue.com/photos/5d8b3854543e9e0008c074d1/master/w_1280%2Cc_limit/00001-Joseph-Spring-20-RTW.jpg,Spring 2020 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,11,https://assets.vogue.com/photos/5cfe2b1ae8d14c9c68aae8ae/master/w_1280%2Cc_limit/00001-Joseph-Menswear-SS20-London.jpg,Spring 2020 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
fall-2026-ready-to-wear,Joseph,12,https://assets.vogue.com/photos/5cefa998ec3099705113b684/master/w_1280%2Cc_limit/00001-joseph-resort-20.jpg,Resort 2020,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/joseph
