season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Kallmeyer,1,https://assets.vogue.com/photos/698fddafc48276714de1e230/master/w_2560%2Cc_limit/00001-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,2,https://assets.vogue.com/photos/698fddaef8f54eba9ec2133b/master/w_2560%2Cc_limit/00002-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,3,https://assets.vogue.com/photos/698fddaecc3e7be9b85dc7cf/master/w_2560%2Cc_limit/00003-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,4,https://assets.vogue.com/photos/698fddb1c5e20555dee53cfd/master/w_2560%2Cc_limit/00004-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,5,https://assets.vogue.com/photos/698fddb1cdbe93976df55da3/master/w_2560%2Cc_limit/00005-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,6,https://assets.vogue.com/photos/698fddb2aa97f29828cb744c/master/w_2560%2Cc_limit/00006-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,7,https://assets.vogue.com/photos/698fde1cc627e9b2e12d5c57/master/w_1280%2Cc_limit/00001-kallmeyer-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,8,https://assets.vogue.com/photos/6939448b2cebbe18627d1fb6/master/w_1280%2Cc_limit/00001-kallmeyer-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,9,https://assets.vogue.com/photos/68c9f4fca960e54a2859146d/master/w_1280%2Cc_limit/00001-kallmeyer-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,10,https://assets.vogue.com/photos/684158fb11a2d12ac3949180/master/w_1280%2Cc_limit/00001-kallmeyer-resort-2026-credit-austin-sandhaus.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,11,https://assets.vogue.com/photos/67aba3e2a8beced334949afe/master/w_1280%2Cc_limit/00001-kallmeyer-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
fall-2026-ready-to-wear,Kallmeyer,12,https://assets.vogue.com/photos/6753461305a6f6ccf896ef40/master/w_1280%2Cc_limit/00001-kallmeyer-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kallmeyer
