season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Karoline Vitto,1,https://assets.vogue.com/photos/6999a8e719bca42ab8f4f37e/master/w_2560%2Cc_limit/00001-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,2,https://assets.vogue.com/photos/6999a8e77aac213dfaebfd00/master/w_2560%2Cc_limit/00002-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,3,https://assets.vogue.com/photos/6999a8e84a90102f6f41a87f/master/w_2560%2Cc_limit/00003-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,4,https://assets.vogue.com/photos/6999a8e915c1a3719e436d08/master/w_2560%2Cc_limit/00004-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,5,https://assets.vogue.com/photos/6999a8e5aeeccc33d73c1dd7/master/w_2560%2Cc_limit/00005-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,6,https://assets.vogue.com/photos/6999a8ea4a90102f6f41a889/master/w_2560%2Cc_limit/00006-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,7,https://assets.vogue.com/photos/6999a958434d98e2a6952caf/master/w_1280%2Cc_limit/00001-karoline-vitto-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,8,https://assets.vogue.com/photos/68cfefb6f9ef0e02e6364fce/master/w_1280%2Cc_limit/00001-karoline-vitto-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,9,https://assets.vogue.com/photos/67cafb11e4f8f83fb7a8bb6d/master/w_1280%2Cc_limit/00001-karoline-vitto-fall-2025-ready-to-wear-credit-ana-flores-brand-.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,10,https://assets.vogue.com/photos/66e6b867a6af3258f1201721/master/w_1280%2Cc_limit/00001-karoline-vitto-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
fall-2026-ready-to-wear,Karoline Vitto,11,https://assets.vogue.com/photos/65101b9d6c0c3246ec19bc44/master/w_1280%2Cc_limit/00001-karoline-vitto-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/karoline-vitto
