season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Kate Barton,1,https://assets.vogue.com/photos/6990d89fc361e711f698701b/master/w_2560%2Cc_limit/00001-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,2,https://assets.vogue.com/photos/6990d89e3913784456892ef1/master/w_2560%2Cc_limit/00002-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,3,https://assets.vogue.com/photos/6990d89fb3d4bcb630256f19/master/w_2560%2Cc_limit/00003-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,4,https://assets.vogue.com/photos/6990d8a1812b2da937834101/master/w_2560%2Cc_limit/00004-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,5,https://assets.vogue.com/photos/6990d8a1ed33a8d53f7a4e48/master/w_2560%2Cc_limit/00005-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,6,https://assets.vogue.com/photos/6990d8a4e40a1ce6ee1892cb/master/w_2560%2Cc_limit/00007-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,7,https://assets.vogue.com/photos/6991b1fc2473ace43a1d3034/master/w_2560%2Cc_limit/00001-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,8,https://assets.vogue.com/photos/6991b1fc1649f313d4dc96dc/master/w_2560%2Cc_limit/00002-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,9,https://assets.vogue.com/photos/6991b1fbaa97f29828cb839d/master/w_2560%2Cc_limit/00003-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,10,https://assets.vogue.com/photos/6991b1fff94f2bf00e629db8/master/w_2560%2Cc_limit/00004-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,11,https://assets.vogue.com/photos/6991b1ffbbca15a5cbb28849/master/w_2560%2Cc_limit/00005-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,12,https://assets.vogue.com/photos/6991b1ffba6819ddec277824/master/w_2560%2Cc_limit/00006-kate-barton-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,13,https://assets.vogue.com/photos/6990d99fc361e711f698702b/master/w_1280%2Cc_limit/00001-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,14,https://assets.vogue.com/photos/68c3298189c054e3a211a555/master/w_1280%2Cc_limit/00001-kate-barton-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,15,https://assets.vogue.com/photos/67aa99af5a5b518d6adfcd39/master/w_1280%2Cc_limit/00001-kate-barton-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
fall-2026-ready-to-wear,Kate Barton,16,https://assets.vogue.com/photos/66e0bb0b5449429f0c32dada/master/w_1280%2Cc_limit/00001-kate-barton-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kate-barton
