season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Laquan Smith,1,https://assets.vogue.com/photos/6991a907ca7b677af75acd31/master/w_2560%2Cc_limit/00001-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,2,https://assets.vogue.com/photos/6991a907aedabaf31bd2a09c/master/w_2560%2Cc_limit/00002-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,3,https://assets.vogue.com/photos/6991a908f7805ff602323f06/master/w_2560%2Cc_limit/00003-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,4,https://assets.vogue.com/photos/6991a90bd39a9adf916e6382/master/w_2560%2Cc_limit/00004-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,5,https://assets.vogue.com/photos/6991a90be40a1ce6ee189999/master/w_2560%2Cc_limit/00005-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,6,https://assets.vogue.com/photos/6991a90b0d5236bf93eb0cbe/master/w_2560%2Cc_limit/00006-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,7,https://assets.vogue.com/photos/6991a9a0e40a1ce6ee1899b9/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,8,https://assets.vogue.com/photos/68ca73585b319888bfbc1939/master/w_1280%2Cc_limit/00001-laquan-smith-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,9,https://assets.vogue.com/photos/67aa37195fc268b29ccbbe2e/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,10,https://assets.vogue.com/photos/66df9cd12e559eb11dcf976b/master/w_1280%2Cc_limit/FIO00013.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,11,https://assets.vogue.com/photos/65cb200cce97090eba69de79/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
fall-2026-ready-to-wear,Laquan Smith,12,https://assets.vogue.com/photos/65004df0b22fc9909f01b060/master/w_1280%2Cc_limit/00001-laquan-smith-collection-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/laquan-smith
