season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Lee Mathews,1,https://assets.vogue.com/photos/69ce3323d5e3a7d50e4d52f3/master/w_2560%2Cc_limit/00001-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,2,https://assets.vogue.com/photos/69ce33244d3833936e853c05/master/w_2560%2Cc_limit/00002-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,3,https://assets.vogue.com/photos/69ce33234d3833936e853bfe/master/w_2560%2Cc_limit/00003-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,4,https://assets.vogue.com/photos/69ce33264d3833936e853c0c/master/w_2560%2Cc_limit/00004-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,5,https://assets.vogue.com/photos/69ce33284f60f5720ccce24e/master/w_2560%2Cc_limit/00005-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,6,https://assets.vogue.com/photos/69ce3329ee8ce5d3d79268e0/master/w_2560%2Cc_limit/00006-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,7,https://assets.vogue.com/photos/69ce32d1fa9f070a46bfb460/master/w_2560%2Cc_limit/00002-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,8,https://assets.vogue.com/photos/69ce32d18e5eddf492af93d5/master/w_2560%2Cc_limit/00003-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,9,https://assets.vogue.com/photos/69ce32d1085bbe92c8399c0d/master/w_2560%2Cc_limit/00004-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,10,https://assets.vogue.com/photos/69ce32d4565164466715eae8/master/w_2560%2Cc_limit/00005-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,11,https://assets.vogue.com/photos/69ce32d9d5e3a7d50e4d52df/master/w_2560%2Cc_limit/00007-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,12,https://assets.vogue.com/photos/69ce32d78141804331c43b9d/master/w_2560%2Cc_limit/00008-lee-mathews-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,13,https://assets.vogue.com/photos/69ce3486565164466715eb29/master/w_1280%2Cc_limit/00001-lee-mathews-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,14,https://assets.vogue.com/photos/690385d05f4d1f9d9bca9f17/master/w_1280%2Cc_limit/00001-lee-mathews-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,15,https://assets.vogue.com/photos/68233443a65a9e9ce98d6cc2/master/w_1280%2Cc_limit/00001-lee-mathews-resort-2026-australia-credit-brand.jpg,Australia Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,16,https://assets.vogue.com/photos/61bc70f24e719539997e9c5e/master/w_1280%2Cc_limit/00001-LEE-MATHEWS-Pre-Fall-22-credit-brand.jpg,Pre-Fall 2022,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,17,https://assets.vogue.com/photos/613b46307971ba93e654ef31/master/w_1280%2Cc_limit/00001-Lee-Mathews-Spring-2022-RTW-Credit-Hannah-Scott-Stevenson.jpg,Spring 2022 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
fall-2026-ready-to-wear,Lee Mathews,18,https://assets.vogue.com/photos/60effb540f8baa92aa9ecd61/master/w_1280%2Cc_limit/00001-LEE-Mathews-Resort-credit-Ben-Morris.jpg,Resort 2022,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/lee-mathews
