season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Luisa Spagnoli,1,https://assets.vogue.com/photos/69a433d5833780a0926b0301/master/w_2560%2Cc_limit/00001-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,2,https://assets.vogue.com/photos/69a433d566b3c6e873c22415/master/w_2560%2Cc_limit/00002-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,3,https://assets.vogue.com/photos/69a433d8d0c3f72dc3046d77/master/w_2560%2Cc_limit/00003-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,4,https://assets.vogue.com/photos/69a433d98fd29ebdcabc5ae0/master/w_2560%2Cc_limit/00004-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,5,https://assets.vogue.com/photos/69a433d9833780a0926b0308/master/w_2560%2Cc_limit/00005-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,6,https://assets.vogue.com/photos/69a433d558a24d4c7f5aea60/master/w_2560%2Cc_limit/00006-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,7,https://assets.vogue.com/photos/69a433dbb635e3088f93ac8a/master/w_2560%2Cc_limit/00007-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,8,https://assets.vogue.com/photos/69a433ddb635e3088f93ac91/master/w_2560%2Cc_limit/00008-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,9,https://assets.vogue.com/photos/69a43497fca02ff16875aa08/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,10,https://assets.vogue.com/photos/68d81aa0625f950b4b869196/master/w_1280%2Cc_limit/00001-luisa-spagnoli-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,11,https://assets.vogue.com/photos/67c324b084e16d398e1a552c/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,12,https://assets.vogue.com/photos/66f0541dde2944e9490c328e/master/w_1280%2Cc_limit/00001-luisa-spognoli-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,13,https://assets.vogue.com/photos/65dca4951530a563a7df0acf/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
fall-2026-ready-to-wear,Luisa Spagnoli,14,https://assets.vogue.com/photos/6511719b4fd30e74fef4c950/master/w_1280%2Cc_limit/00001-luisa%25E2%2580%2594spagnoli-spring-2024-ready-to-wear-credit-alberto-maddaloni.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/luisa-spagnoli
