season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Maccapani,1,https://assets.vogue.com/photos/69a5d269cf9e1a84c03a4626/master/w_2560%2Cc_limit/00001-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,2,https://assets.vogue.com/photos/69a5d269d7041847744f3490/master/w_2560%2Cc_limit/00002-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,3,https://assets.vogue.com/photos/69a5d26937bc93c2d4500cea/master/w_2560%2Cc_limit/00003-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,4,https://assets.vogue.com/photos/69a5d26e287ebce71b5a6176/master/w_2560%2Cc_limit/00004-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,5,https://assets.vogue.com/photos/69a5d26cfdc084f8a43bb954/master/w_2560%2Cc_limit/00005-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,6,https://assets.vogue.com/photos/69a5d26db7736f79e1449f8f/master/w_2560%2Cc_limit/00006-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,7,https://assets.vogue.com/photos/69a43a446c435a86bdf2d257/master/w_1280%2Cc_limit/00001-maccapani-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,8,https://assets.vogue.com/photos/68da969ccef2e7332c27232f/master/w_1280%2Cc_limit/00001-maccapani-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,9,https://assets.vogue.com/photos/67cf34f92fa01dd0258cc17f/master/w_1280%2Cc_limit/00001-maccapani-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,10,https://assets.vogue.com/photos/66ec3ccc91146fdbbfa0b79d/master/w_1280%2Cc_limit/00001-maccapani-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,11,https://assets.vogue.com/photos/66700d39a6740f014819a8fe/master/w_1280%2Cc_limit/00001-maccapani-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
fall-2026-ready-to-wear,Maccapani,12,https://assets.vogue.com/photos/6568b29d7dc750be2dcf18e8/master/w_1280%2Cc_limit/00001-maccapani-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maccapani
