season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Magda Butrym,1,https://assets.vogue.com/photos/69ae90bcf5d46867e03a404c/master/w_2560%2Cc_limit/00001-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,2,https://assets.vogue.com/photos/69ae90bcb94c221fcad9e6f5/master/w_2560%2Cc_limit/00002-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,3,https://assets.vogue.com/photos/69ae90be24cbf98cfb1389d3/master/w_2560%2Cc_limit/00003-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,4,https://assets.vogue.com/photos/69ae90c16a5a604c8ba25815/master/w_2560%2Cc_limit/00004-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,5,https://assets.vogue.com/photos/69ae90c19e6467f878beddff/master/w_2560%2Cc_limit/00005-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,6,https://assets.vogue.com/photos/69ae90c2dd6f4ef1e5514c60/master/w_2560%2Cc_limit/00006-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,7,https://assets.vogue.com/photos/69ae9145eb17ee3133889886/master/w_1280%2Cc_limit/00001-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,8,https://assets.vogue.com/photos/697cd0ddbe46ef95e45b2464/master/w_1280%2Cc_limit/00001-magda-butrym-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,9,https://assets.vogue.com/photos/68e22a9e1fa3a1fe05aa8227/master/w_1280%2Cc_limit/_SDR0032.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,10,https://assets.vogue.com/photos/68629d5c4fa6994d01aabeff/master/w_1280%2Cc_limit/00001-magda-butrym-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
fall-2026-ready-to-wear,Magda Butrym,11,https://assets.vogue.com/photos/67d1a9f3242fdc7f67fc94a1/master/w_1280%2Cc_limit/00001-magda-butrym-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/magda-butrym
