season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Marco Rambaldi,1,https://assets.vogue.com/photos/69a17f356e3b6bd0f867b5d5/master/w_2560%2Cc_limit/00001-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,2,https://assets.vogue.com/photos/69a17f36b8d4374e1dfbd18c/master/w_2560%2Cc_limit/00002-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,3,https://assets.vogue.com/photos/69a17f395ff71da531bb9787/master/w_2560%2Cc_limit/00003-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,4,https://assets.vogue.com/photos/69a17f3a5005c6d16d9fe640/master/w_2560%2Cc_limit/00004-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,5,https://assets.vogue.com/photos/69a17f3b2fefd295cef9b581/master/w_2560%2Cc_limit/00005-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,6,https://assets.vogue.com/photos/69a17f3e6d6c036a76e94c8e/master/w_2560%2Cc_limit/00006-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,7,https://assets.vogue.com/photos/69a1803946fad7a9d61f39dc/master/w_1280%2Cc_limit/00001-marco-rambaldi-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,8,https://assets.vogue.com/photos/68d66fe7f1d5d3bd8a89bdbf/master/w_1280%2Cc_limit/00001-marco-rambaldi-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,9,https://assets.vogue.com/photos/67bf5e0f322032a58c51023a/master/w_1280%2Cc_limit/00001-marco-rambaldi-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,10,https://assets.vogue.com/photos/66ead24774041dd5cc4205a6/master/w_1280%2Cc_limit/00001-marco-rambaldi-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,11,https://assets.vogue.com/photos/65d6406caa24fa5e44b05a98/master/w_1280%2Cc_limit/00001-marco-rambaldi-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
fall-2026-ready-to-wear,Marco Rambaldi,12,https://assets.vogue.com/photos/650b25ca0f55ed68c31eb0f1/master/w_1280%2Cc_limit/00001-marco-rambaldi-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marco-rambaldi
