season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Maria Mcmanus,1,https://assets.vogue.com/photos/6994970d0d7cc6a2195057de/master/w_2560%2Cc_limit/00001-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,2,https://assets.vogue.com/photos/6994970d4d69a959f3c1a728/master/w_2560%2Cc_limit/00002-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,3,https://assets.vogue.com/photos/6994970d1f0a4f3bd4f717d1/master/w_2560%2Cc_limit/00003-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,4,https://assets.vogue.com/photos/699497100d7cc6a2195057e4/master/w_2560%2Cc_limit/00004-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,5,https://assets.vogue.com/photos/699497108745fbeebfbeb0a8/master/w_2560%2Cc_limit/00005-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,6,https://assets.vogue.com/photos/699497105abda226b50bf271/master/w_2560%2Cc_limit/00006-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,7,https://assets.vogue.com/photos/69949799cddaab2f26483e53/master/w_1280%2Cc_limit/00001-maria-mcmanus-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,8,https://assets.vogue.com/photos/695f7f81dc967a2e72aadc3c/master/w_1280%2Cc_limit/00001-maria-mcmanus-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,9,https://assets.vogue.com/photos/68c44426306faeac9420f9c1/master/w_1280%2Cc_limit/00001-maria-mcmanus-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,10,https://assets.vogue.com/photos/68527aef257d413d1e414dec/master/w_1280%2Cc_limit/00001-maria-mcmanus-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,11,https://assets.vogue.com/photos/67aa758b63baeea54e84a574/master/w_1280%2Cc_limit/00001-maria-mcmanus-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
fall-2026-ready-to-wear,Maria Mcmanus,12,https://assets.vogue.com/photos/675c25d0eedbb8fec5c20cf4/master/w_1280%2Cc_limit/00001-maria-mcmanus-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maria-mcmanus
